iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14,weight15,weight16,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16
0,3,271.893899,37.698300,11.629619,222.565980,153101,27440,0.999996,0.599986,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5314236853356136,0.704954954954955,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,1.0
1,2,66.586626,38.448300,12.649471,15.488855,155101,26940,1.013060,0.589054,0.057650937500000006,0.0662959375,0.0488089375,0.056725937500000004,0.1017849375,0.0807609375,0.048094937500000004,0.0803289375,0.047575937500000005,0.047380937500000005,0.054194937500000005,0.0504309375,0.052312937500000004,0.05263693750000001,0.05263693750000001,0.1023789375,0,0.0033232628398791597,0,0,0.13674560733384267,0.38359908883826876,0,0,0,0,0,0,0,0,0,0.003456221198156695
1,3,76.756444,38.448300,12.649471,25.658672,155101,26940,1.013060,0.589054,0.057650937500000006,0.0662959375,0.0488089375,0.056725937500000004,0.1017849375,0.0807609375,0.048094937500000004,0.0803289375,0.047575937500000005,0.047380937500000005,0.054194937500000005,0.0504309375,0.052312937500000004,0.05263693750000001,0.05263693750000001,0.1023789375,0.0,0.02147142406062519,0,0,0.09950248756218905,0.6225645672859085,0,0,0,0,0,0,0,0,0,0
1,1,83.255152,38.448300,12.649471,32.157381,155101,26940,1.013060,0.589054,0.057650937500000006,0.0662959375,0.0488089375,0.056725937500000004,0.1017849375,0.0807609375,0.048094937500000004,0.0803289375,0.047575937500000005,0.047380937500000005,0.054194937500000005,0.0504309375,0.052312937500000004,0.05263693750000001,0.05263693750000001,0.1023789375,0,0,0,0,0.1682539682539682,0.7008234217749314,0,0.0020408163265305257,0,0,0,0,0,0,0,0.003548196333530429
1,0,109.633459,38.448300,12.649471,58.535688,155101,26940,1.013060,0.589054,0.057650937500000006,0.0662959375,0.0488089375,0.056725937500000004,0.1017849375,0.0807609375,0.048094937500000004,0.0803289375,0.047575937500000005,0.047380937500000005,0.054194937500000005,0.0504309375,0.052312937500000004,0.05263693750000001,0.05263693750000001,0.1023789375,0,0,0,0.036974789915966366,0.23011583011583014,0.8898781630740393,0,0.39862204724409445,0,0,0,0,0,0,0,0
2,1,54.771600,39.198300,13.669866,1.903434,157101,26440,1.026123,0.578121,0.0563340625,0.06428406249999999,0.0470380625,0.0550370625,0.1061290625,0.0947140625,0.046202062499999995,0.0822100625,0.0455940625,0.04536606249999999,0.0533440625,0.048937062499999996,0.05114006249999999,0.0515200625,0.0515200625,0.10063006249999999,0,0,0,0,0.13629402756508424,0.05351326198231732,0,0,0,0,0,0,0,0,0,0
2,3,56.163088,39.198300,13.669866,3.294921,157101,26440,1.026123,0.578121,0.0563340625,0.06428406249999999,0.0470380625,0.0550370625,0.1061290625,0.0947140625,0.046202062499999995,0.0822100625,0.0455940625,0.04536606249999999,0.0533440625,0.048937062499999996,0.05114006249999999,0.0515200625,0.0515200625,0.10063006249999999,0,0,0,0,0,0.16772438803263823,0,0.0057088487155090295,0,0,0,0,0,0,0,0
2,2,55.638686,39.198300,13.669866,2.770520,157101,26440,1.026123,0.578121,0.0563340625,0.06428406249999999,0.0470380625,0.0550370625,0.1061290625,0.0947140625,0.046202062499999995,0.0822100625,0.0455940625,0.04536606249999999,0.0533440625,0.048937062499999996,0.05114006249999999,0.0515200625,0.0515200625,0.10063006249999999,0,0,0,0,0,0.15653357531760437,0,0,0,0,0,0,0,0,0,0.005238649592549494
2,0,64.195810,39.198300,13.669866,11.327644,157101,26440,1.026123,0.578121,0.0563340625,0.06428406249999999,0.0470380625,0.0550370625,0.1061290625,0.0947140625,0.046202062499999995,0.0822100625,0.0455940625,0.04536606249999999,0.0533440625,0.048937062499999996,0.05114006249999999,0.0515200625,0.0515200625,0.10063006249999999,0,0,0,0,0.019679300291545188,0.33528089887640444,0,0,0,0,0,0,0,0,0,0
3,1,54.714799,39.948600,14.690837,0.075362,159101,25939,1.039186,0.567166,0.056106,0.063914,0.046718,0.054728,0.10713,0.097562,0.045857,0.081951,0.045231,0.044996,0.053211,0.048673,0.050942,0.051333,0.051333,0.100315,0,0,0,0,0,0.05275229357798161,0,0,0,0,0,0,0,0,0,0
3,3,55.986809,39.948600,14.690837,1.347372,159101,25939,1.039186,0.567166,0.056106,0.063914,0.046718,0.054728,0.10713,0.097562,0.045857,0.081951,0.045231,0.044996,0.053211,0.048673,0.050942,0.051333,0.051333,0.100315,0,0,0,0,0,0.12388549976536845,0,0,0,0,0,0,0,0,0,0
3,0,54.800930,39.948600,14.690837,0.161493,159101,25939,1.039186,0.567166,0.056106,0.063914,0.046718,0.054728,0.10713,0.097562,0.045857,0.081951,0.045231,0.044996,0.053211,0.048673,0.050942,0.051333,0.051333,0.100315,0,0,0,0,0,0.07133421400264206,0,0,0,0,0,0,0,0,0,0
3,2,54.678893,39.948600,14.690837,0.039456,159101,25939,1.039186,0.567166,0.056106,0.063914,0.046718,0.054728,0.10713,0.097562,0.045857,0.081951,0.045231,0.044996,0.053211,0.048673,0.050942,0.051333,0.051333,0.100315,0,0,0,0,0,0.02664216812126774,0,0,0,0,0,0,0,0,0,0
4,1,56.441893,40.698300,15.711904,0.031689,161100,25439,1.052243,0.556234,0.056075875,0.063864875,0.046674875,0.054686874999999996,0.107126875,0.098078875,0.045810874999999994,0.081915875,0.045182875,0.044946875,0.053192874999999994,0.048637875,0.050915875,0.051307874999999996,0.051307874999999996,0.100272875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,56.441893,40.698300,15.711904,0.031689,161100,25439,1.052243,0.556234,0.056075875,0.063864875,0.046674875,0.054686874999999996,0.107126875,0.098078875,0.045810874999999994,0.081915875,0.045182875,0.044946875,0.053192874999999994,0.048637875,0.050915875,0.051307874999999996,0.051307874999999996,0.100272875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,56.441893,40.698300,15.711904,0.031689,161100,25439,1.052243,0.556234,0.056075875,0.063864875,0.046674875,0.054686874999999996,0.107126875,0.098078875,0.045810874999999994,0.081915875,0.045182875,0.044946875,0.053192874999999994,0.048637875,0.050915875,0.051307874999999996,0.051307874999999996,0.100272875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,56.442005,40.698300,15.711904,0.031801,161100,25439,1.052243,0.556234,0.056075875,0.063864875,0.046674875,0.054686874999999996,0.107126875,0.098078875,0.045810874999999994,0.081915875,0.045182875,0.044946875,0.053192874999999994,0.048637875,0.050915875,0.051307874999999996,0.051307874999999996,0.100272875,0,0,0,0,0,0.0009233610341643494,0,0,0,0,0,0,0,0,0,0
5,0,54.775013,39.948300,14.689818,0.136895,159099,25938,1.039173,0.567145,0.05602999999999999,0.06379099999999999,0.046610999999999986,0.054624999999999986,0.10712199999999998,0.09885499999999998,0.045741999999999984,0.08186399999999999,0.04510999999999998,0.04487299999999999,0.053165999999999984,0.04858499999999999,0.050875999999999984,0.05126999999999999,0.05126999999999999,0.10020999999999998,0,0,0,0,0.006802721088435382,0.06746213859568606,0,0,0,0,0,0,0,0,0,0
5,1,54.669807,39.948300,14.689818,0.031689,159099,25938,1.039173,0.567145,0.05602999999999999,0.06379099999999999,0.046610999999999986,0.054624999999999986,0.10712199999999998,0.09885499999999998,0.045741999999999984,0.08186399999999999,0.04510999999999998,0.04487299999999999,0.053165999999999984,0.04858499999999999,0.050875999999999984,0.05126999999999999,0.05126999999999999,0.10020999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,54.753724,39.948300,14.689818,0.115606,159099,25938,1.039173,0.567145,0.05602999999999999,0.06379099999999999,0.046610999999999986,0.054624999999999986,0.10712199999999998,0.09885499999999998,0.045741999999999984,0.08186399999999999,0.04510999999999998,0.04487299999999999,0.053165999999999984,0.04858499999999999,0.050875999999999984,0.05126999999999999,0.05126999999999999,0.10020999999999998,0,0,0,0,0,0.06371191135734078,0,0,0,0,0,0,0,0,0,0
5,2,54.680939,39.948300,14.689818,0.042822,159099,25938,1.039173,0.567145,0.05602999999999999,0.06379099999999999,0.046610999999999986,0.054624999999999986,0.10712199999999998,0.09885499999999998,0.045741999999999984,0.08186399999999999,0.04510999999999998,0.04487299999999999,0.053165999999999984,0.04858499999999999,0.050875999999999984,0.05126999999999999,0.05126999999999999,0.10020999999999998,0,0,0,0,0,0.03162055335968372,0,0,0,0,0,0,0,0,0,0
6,1,53.223560,39.498300,13.670140,0.055119,157099,25438,1.026110,0.556212,0.053994000000000014,0.06046300000000002,0.043734000000000016,0.051851000000000015,0.10704600000000002,0.133444,0.04264000000000001,0.07954100000000001,0.04184400000000001,0.04154500000000001,0.051991000000000016,0.04622100000000001,0.04910600000000001,0.049603000000000015,0.049603000000000015,0.09737400000000002,0,0,0,0,0.012705530642750373,0.041200179131213654,0,0,0,0,0,0,0,0,0,0
6,3,53.218631,39.498300,13.670140,0.050190,157099,25438,1.026110,0.556212,0.053994000000000014,0.06046300000000002,0.043734000000000016,0.051851000000000015,0.10704600000000002,0.133444,0.04264000000000001,0.07954100000000001,0.04184400000000001,0.04154500000000001,0.051991000000000016,0.04622100000000001,0.04910600000000001,0.049603000000000015,0.049603000000000015,0.09737400000000002,0,0,0,0,0,0.0390334572490707,0,0.0009523809523809268,0,0,0,0,0,0,0,0
6,0,53.206528,39.498300,13.670140,0.038088,157099,25438,1.026110,0.556212,0.053994000000000014,0.06046300000000002,0.043734000000000016,0.051851000000000015,0.10704600000000002,0.133444,0.04264000000000001,0.07954100000000001,0.04184400000000001,0.04154500000000001,0.051991000000000016,0.04622100000000001,0.04910600000000001,0.049603000000000015,0.049603000000000015,0.09737400000000002,0,0,0,0,0,0.024107142857142883,0,0,0,0,0,0,0,0,0,0
6,2,53.523918,39.498300,13.670140,0.355478,157099,25438,1.026110,0.556212,0.053994000000000014,0.06046300000000002,0.043734000000000016,0.051851000000000015,0.10704600000000002,0.133444,0.04264000000000001,0.07954100000000001,0.04184400000000001,0.04154500000000001,0.051991000000000016,0.04622100000000001,0.04910600000000001,0.049603000000000015,0.049603000000000015,0.09737400000000002,0,0,0,0,0,0.08853474988933152,0,0,0,0,0,0,0,0,0,0
7,1,54.971659,40.248600,14.691370,0.031689,159099,24937,1.039173,0.545257,0.05273593749999999,0.05807393749999999,0.04173993749999999,0.04994593749999999,0.10770993749999999,0.1556429375,0.04044793749999999,0.07804293749999999,0.039508937499999994,0.039155937499999995,0.05148693749999999,0.04467593749999999,0.04808093749999999,0.048667937499999994,0.048667937499999994,0.09541593749999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,54.975526,40.248600,14.691370,0.035556,159099,24937,1.039173,0.545257,0.05273593749999999,0.05807393749999999,0.04173993749999999,0.04994593749999999,0.10770993749999999,0.1556429375,0.04044793749999999,0.07804293749999999,0.039508937499999994,0.039155937499999995,0.05148693749999999,0.04467593749999999,0.04808093749999999,0.048667937499999994,0.048667937499999994,0.09541593749999999,0,0,0,0,0,0.018085575650639618,0,0,0,0,0,0,0,0,0,0
7,3,54.971768,40.248600,14.691370,0.031798,159099,24937,1.039173,0.545257,0.05273593749999999,0.05807393749999999,0.04173993749999999,0.04994593749999999,0.10770993749999999,0.1556429375,0.04044793749999999,0.07804293749999999,0.039508937499999994,0.039155937499999995,0.05148693749999999,0.04467593749999999,0.04808093749999999,0.048667937499999994,0.048667937499999994,0.09541593749999999,0,0,0,0,0,0.0008960573476702871,0,0,0,0,0,0,0,0,0,0
7,2,54.974168,40.248600,14.691370,0.034198,159099,24937,1.039173,0.545257,0.05273593749999999,0.05807393749999999,0.04173993749999999,0.04994593749999999,0.10770993749999999,0.1556429375,0.04044793749999999,0.07804293749999999,0.039508937499999994,0.039155937499999995,0.05148693749999999,0.04467593749999999,0.04808093749999999,0.048667937499999994,0.048667937499999994,0.09541593749999999,0,0,0,0,0,0.013667425968109326,0,0,0,0,0,0,0,0,0,0
8,3,53.205416,39.498600,13.670142,0.036675,157099,25437,1.026110,0.556190,0.05270906250000001,0.05801706250000001,0.04169306250000001,0.04990206250000001,0.10772506250000001,0.15614806250000002,0.04039606250000001,0.0780090625,0.03945306250000001,0.03909906250000001,0.051479062500000006,0.04464106250000001,0.04806006250000001,0.04864906250000001,0.04864906250000001,0.0953700625,0,0,0,0,0,0.021014161717679336,0,0,0,0,0,0,0,0,0,0
8,0,53.201972,39.498600,13.670142,0.033230,157099,25437,1.026110,0.556190,0.05270906250000001,0.05801706250000001,0.04169306250000001,0.04990206250000001,0.10772506250000001,0.15614806250000002,0.04039606250000001,0.0780090625,0.03945306250000001,0.03909906250000001,0.051479062500000006,0.04464106250000001,0.04806006250000001,0.04864906250000001,0.04864906250000001,0.0953700625,0,0,0,0,0,0.009610983981693355,0,0,0,0,0,0,0,0,0,0
8,1,53.233166,39.498600,13.670142,0.064424,157099,25437,1.026110,0.556190,0.05270906250000001,0.05801706250000001,0.04169306250000001,0.04990206250000001,0.10772506250000001,0.15614806250000002,0.04039606250000001,0.0780090625,0.03945306250000001,0.03909906250000001,0.051479062500000006,0.04464106250000001,0.04806006250000001,0.04864906250000001,0.04864906250000001,0.0953700625,0,0,0,0,0,0.048072562358276616,0,0,0,0,0,0,0,0,0,0
8,2,53.200430,39.498600,13.670142,0.031689,157099,25437,1.026110,0.556190,0.05270906250000001,0.05801706250000001,0.04169306250000001,0.04990206250000001,0.10772506250000001,0.15614806250000002,0.04039606250000001,0.0780090625,0.03945306250000001,0.03909906250000001,0.051479062500000006,0.04464106250000001,0.04806006250000001,0.04864906250000001,0.04864906250000001,0.0953700625,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
9,2,51.481642,38.748300,12.649010,0.084332,155098,25937,1.013040,0.567123,0.0527441875,0.058091187499999995,0.0417541875,0.049960187499999996,0.1077051875,0.1554921875,0.0404631875,0.0780531875,0.039525187499999996,0.0391731875,0.0514891875,0.044686187499999995,0.048087187499999996,0.0486731875,0.0486731875,0.0954291875,0,0,0,0,0.00905660377358497,0.05538045925258894,0,0,0,0,0,0,0,0,0,0
9,1,52.092199,38.748300,12.649010,0.694890,155098,25937,1.013040,0.567123,0.0527441875,0.058091187499999995,0.0417541875,0.049960187499999996,0.1077051875,0.1554921875,0.0404631875,0.0780531875,0.039525187499999996,0.0391731875,0.0514891875,0.044686187499999995,0.048087187499999996,0.0486731875,0.0486731875,0.0954291875,0,0,0,0,0.011135857461024523,0.10426110607434269,0,0,0,0,0,0,0,0,0,0
9,0,51.462392,38.748300,12.649010,0.065082,155098,25937,1.013040,0.567123,0.0527441875,0.058091187499999995,0.0417541875,0.049960187499999996,0.1077051875,0.1554921875,0.0404631875,0.0780531875,0.039525187499999996,0.0391731875,0.0514891875,0.044686187499999995,0.048087187499999996,0.0486731875,0.0486731875,0.0954291875,0,0,0,0,0.025816249050873097,0.04431512981199648,0,0.0019550342130987275,0,0,0,0,0,0,0,0
