iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
12,1,34.932171,33.068100,1.825248,0.038822,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.04908565928777675
12,0,35.082681,33.068100,1.825248,0.189332,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.0777959253846815
12,3,37.276739,33.068100,1.825248,2.383391,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.1487410227567708
12,2,35.478295,33.068100,1.825248,0.584946,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.10116498201130708
13,2,36.662810,33.818100,2.840614,0.004096,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.0010993657505286025
13,0,36.666556,33.818100,2.840614,0.007842,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.018124841195900743
13,3,36.665481,33.818100,2.840614,0.006768,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.014737943664428377
13,1,36.668668,33.818100,2.840614,0.009954,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.023275641572171546
14,3,34.943753,33.068400,1.824740,0.050612,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.053836950948555784
14,2,34.897556,33.068400,1.824740,0.004416,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.0034511784511783716
14,0,35.027551,33.068400,1.824740,0.134410,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.07142250530785554
14,1,34.909153,33.068400,1.824740,0.016013,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.032758914860945176
15,3,33.209753,32.318100,0.808675,0.082978,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.06268097428036112
15,0,33.229657,32.318100,0.808675,0.102882,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.06655433866891325
15,2,33.296245,32.318100,0.808675,0.169470,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.07571355323876261
15,1,33.190451,32.318100,0.808675,0.063676,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.05794009727792471
16,3,33.880470,31.868100,0.206581,1.805789,138343,32116,0.997067,0.592000,0.210881,0.789119,0,0.13573237837365704
16,1,36.578551,31.868100,0.206581,4.503870,138343,32116,0.997067,0.592000,0.210881,0.789119,0,0.1937292888095845
16,0,34.969294,31.868100,0.206581,2.894613,138343,32116,0.997067,0.592000,0.210881,0.789119,0,0.1598087758238005
16,2,33.116245,31.868100,0.206581,1.041564,138343,32116,0.997067,0.592000,0.210881,0.789119,0,0.11635165597364316
17,2,33.492624,32.618100,0.808170,0.066354,140342,31615,1.011474,0.582765,0.188396,0.811604,0,0.05867654661382049
17,1,33.600839,32.618100,0.808170,0.174568,140342,31615,1.011474,0.582765,0.188396,0.811604,0,0.0762683296814427
17,0,33.614028,32.618100,0.808170,0.187757,140342,31615,1.011474,0.582765,0.188396,0.811604,0,0.07763819095477387
17,3,33.440659,32.618100,0.808170,0.014389,140342,31615,1.011474,0.582765,0.188396,0.811604,0,0.030692059173609954
18,1,32.730052,32.168100,0.207596,0.354356,138341,31114,0.997052,0.573530,0.187506,0.812494,0,0.09013987221550679
18,2,38.227834,32.168100,0.207596,5.852139,138341,31114,0.997052,0.573530,0.187506,0.812494,0,0.22186717333103023
18,0,32.417197,32.168100,0.207596,0.041502,138341,31114,0.997052,0.573530,0.187506,0.812494,0,0.05028371890004357
18,3,32.917764,32.168100,0.207596,0.542068,138341,31114,0.997052,0.573530,0.187506,0.812494,0,0.09939321425519188
19,3,33.735116,32.918400,0.807666,0.009050,140341,30613,1.011467,0.564295,0.177678,0.822322,0,0.021260180025717945
19,1,34.277305,32.918400,0.807666,0.551239,140341,30613,1.011467,0.564295,0.177678,0.822322,0,0.099780145442246
19,0,33.789142,32.918400,0.807666,0.063076,140341,30613,1.011467,0.564295,0.177678,0.822322,0,0.0577709611451942
19,2,33.734387,32.918400,0.807666,0.008321,140341,30613,1.011467,0.564295,0.177678,0.822322,0,0.019439188026836418
20,2,35.495102,33.668400,1.822741,0.003961,142340,30112,1.025874,0.555060,0.176464,0.823536,0,0
20,1,35.503428,33.668400,1.822741,0.012287,142340,30112,1.025874,0.555060,0.176464,0.823536,0,0.027576929544308126
20,0,35.495102,33.668400,1.822741,0.003961,142340,30112,1.025874,0.555060,0.176464,0.823536,0,0
20,3,35.495102,33.668400,1.822741,0.003961,142340,30112,1.025874,0.555060,0.176464,0.823536,0,0
21,1,33.845832,32.918400,0.806650,0.120781,140339,30611,1.011452,0.564258,0.175732,0.824268,0,0.06946674554212795
21,0,33.733984,32.918400,0.806650,0.008934,140339,30611,1.011452,0.564258,0.175732,0.824268,0,0.0209825997952916
21,2,33.742706,32.918400,0.806650,0.017655,140339,30611,1.011452,0.564258,0.175732,0.824268,0,0.03462073764787743
21,3,33.746772,32.918400,0.806650,0.021722,140339,30611,1.011452,0.564258,0.175732,0.824268,0,0.03850761595071028
22,1,32.389917,32.168400,0.208611,0.012907,138339,31111,0.997038,0.573475,0.144358,0.855642,0,0.028556225611919173
22,0,32.396383,32.168400,0.208611,0.019373,138339,31111,0.997038,0.573475,0.144358,0.855642,0,0.03637145313843504
22,2,32.465688,32.168400,0.208611,0.088677,138339,31111,0.997038,0.573475,0.144358,0.855642,0,0.06387461026375651
22,3,32.415805,32.168400,0.208611,0.038795,138339,31111,0.997038,0.573475,0.144358,0.855642,0,0.04907277816655009
23,1,35.176647,31.418400,1.224073,2.534174,136338,31610,0.982616,0.582673,0.126355,0.873645,0,0.15203535310614436
23,2,40.929472,31.418400,1.224073,8.286999,136338,31610,0.982616,0.582673,0.126355,0.873645,0,0.272604016608762
23,3,43.106847,31.418400,1.224073,10.464374,136338,31610,0.982616,0.582673,0.126355,0.873645,0,0.31796650312975805
23,0,42.592556,31.418400,1.224073,9.950083,136338,31610,0.982616,0.582673,0.126355,0.873645,0,0.30725207141026745
24,0,32.421959,32.168700,0.209118,0.044141,138338,31109,0.997031,0.573438,0.098916,0.901084,0,0.05138888888888882
24,1,32.385005,32.168700,0.209118,0.007186,138338,31109,0.997031,0.573438,0.098916,0.901084,0,0.016140109890109833
24,3,32.464959,32.168700,0.209118,0.087141,138338,31109,0.997031,0.573438,0.098916,0.901084,0,0.06356041684609426
