iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
0,0,83.105056,32.842500,7.056615,43.205942,126125,16650,1.000000,0.600000,0.25,0.25,0.25,0.25,0,0,1.0,0
1,0,54.755816,33.592200,8.076132,13.087484,128124,16150,1.015849,0.581982,0.24107825,0.24107825,0.27676524999999996,0.24107825,0,0,0.37253212721659845,0
2,0,43.447209,34.342200,9.097086,0.007922,130124,15650,1.031707,0.563964,0.23883924999999998,0.23883924999999998,0.28348225,0.23883924999999998,0,0,0,0
3,0,69.882554,33.591900,8.075622,28.215032,128123,16150,1.015841,0.581982,0.23883924999999998,0.23883924999999998,0.28348225,0.23883924999999998,0,0,0.6876893805933338,0
4,0,43.446398,34.341900,9.096576,0.007922,130123,15650,1.031699,0.563964,0.23518,0.23518,0.29446,0.23518,0,0,0,0
5,0,43.998355,33.591600,8.075112,2.331643,128122,16150,1.015833,0.581982,0.23518,0.23518,0.29446,0.23518,0,0,0.1475157452764171,0
6,0,43.445588,34.341600,9.096066,0.007922,130122,15650,1.031691,0.563964,0.234579,0.234579,0.296263,0.234579,0,0,0,0
7,0,49.904486,33.591300,8.074602,8.238584,128121,16150,1.015826,0.581982,0.234579,0.234579,0.296263,0.234579,0,0,0.27151282597882476,0
8,0,43.444778,34.341300,9.095555,0.007922,130121,15650,1.031683,0.563964,0.23345074999999996,0.23345074999999996,0.29964775,0.23345074999999996,0,0,0,0
9,0,42.061013,33.591300,8.074602,0.395111,128121,16150,1.015826,0.581982,0.23345074999999996,0.23345074999999996,0.29964775,0.23345074999999996,0,0,0.09220788687222092,0
10,0,43.444778,34.341300,9.095555,0.007922,130121,15650,1.031683,0.563964,0.23317525,0.23317525,0.30047425000000005,0.23317525,0,0,0,0
11,0,41.786376,33.591300,8.074602,0.120474,128121,16150,1.015826,0.581982,0.23317525,0.23317525,0.30047425000000005,0.23317525,0,0,0.06881130986728223,0
12,0,43.444778,34.341300,9.095555,0.007922,130121,15650,1.031683,0.563964,0.23289525,0.23289525,0.30131425,0.23289525,0,0,0,0
13,0,50.546416,33.591300,8.074602,8.880514,128121,16150,1.015826,0.581982,0.23289525,0.23289525,0.30131425,0.23289525,0,0,0.2848866681149974,0
14,0,43.444778,34.341300,9.095555,0.007922,130121,15650,1.031683,0.563964,0.22436325000000001,0.22436325000000001,0.32691024999999996,0.22436325000000001,0,0,0,0
15,0,41.677788,33.591300,8.074602,0.011886,128121,16150,1.015826,0.581982,0.22436325000000001,0.22436325000000001,0.32691024999999996,0.22436325000000001,0,0,0.018357834349229107,0
16,0,83.101008,32.841000,7.054067,43.205942,126120,16650,0.999960,0.600000,0.224083,0.224083,0.327751,0.224083,0,0,1.0,0
17,0,41.909062,33.591000,8.074092,0.243970,128120,16150,1.015818,0.581982,0.21575975000000003,0.21575975000000003,0.35272075,0.21575975000000003,0,0,0.08233722401912535,0
18,0,43.443967,34.341000,9.095045,0.007922,130120,15650,1.031675,0.563964,0.21550174999999996,0.21550174999999996,0.35349474999999997,0.21550174999999996,0,0,0,0
19,0,41.673014,33.591000,8.074092,0.007922,128120,16150,1.015818,0.581982,0.21550174999999996,0.21550174999999996,0.35349474999999997,0.21550174999999996,0,0,0,0
20,0,83.100199,32.840700,7.053557,43.205942,126119,16650,0.999952,0.600000,0.21550174999999996,0.21550174999999996,0.35349474999999997,0.21550174999999996,0,0,1.0,0
