iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
35,0,40.013237,33.013200,6.959216,0.040821,121547,11503,1.016598,0.492107,0.22298474999999995,0.32916375,0.22486674999999998,0.22298474999999995,0,0.04815259954251161,0,0
36,0,81.707728,32.562900,5.938886,43.205942,119546,11003,0.999862,0.470717,0.22284525000000002,0.32956525000000003,0.22474425000000003,0.22284525000000002,0,1.0,0,0
37,0,40.281694,33.313200,6.960571,0.007922,121546,10502,1.016590,0.449283,0.21276,0.358634,0.215846,0.21276,0,0,0,0
38,0,72.900346,32.563200,5.938888,34.398258,119546,11002,0.999862,0.470674,0.21276,0.358634,0.215846,0.21276,0,0.8165065979542437,0,0
39,0,40.290721,33.313500,6.960573,0.016647,121546,10501,1.016590,0.449241,0.213695,0.355949,0.216661,0.213695,0,0.028214491639438788,0,0
40,0,81.564552,32.863800,5.940381,42.760370,119546,10000,0.999862,0.427807,0.21387125,0.35544224999999996,0.21681525000000001,0.21387125,0,0.9907172650691094,0,0
41,0,40.584858,33.614100,6.962836,0.007922,121546,9499,1.016590,0.406374,0.203302,0.385813,0.207583,0.203302,0,0,0,0
42,0,39.056229,32.864100,5.940383,0.251746,119546,9999,0.999862,0.427765,0.203302,0.385813,0.207583,0.203302,0,0.08295807453416149,0,0
43,0,40.585161,33.614400,6.962838,0.007922,121546,9498,1.016590,0.406332,0.203991,0.383841,0.208177,0.203991,0,0,0,0
44,0,38.816386,32.864400,5.940384,0.011601,119546,9998,0.999862,0.427722,0.203991,0.383841,0.208177,0.203991,0,0.01753831568968245,0,0
45,0,80.239379,32.114400,4.919038,43.205942,117545,10497,0.983126,0.449070,0.204222,0.38318,0.208376,0.204222,0,1.0,0,0
46,0,41.539766,32.864700,5.939877,2.735189,119545,9996,0.999854,0.427636,0.210697,0.364635,0.213971,0.210697,0,0.15630021555947482,0,0
47,0,40.584144,33.614400,6.961821,0.007922,121544,9496,1.016573,0.406246,0.210992,0.363788,0.214228,0.210992,0,0,0,0
48,0,47.458465,32.864400,5.938858,8.655206,119543,9995,0.999837,0.427594,0.210992,0.363788,0.214228,0.210992,0,0.28019267822736027,0,0
49,0,40.583938,33.614700,6.961315,0.007922,121543,9494,1.016565,0.406160,0.21135600000000002,0.36274300000000004,0.21454500000000004,0.21135600000000002,0,0,0,0
50,0,41.344796,32.864700,5.938860,2.541237,119543,9994,0.999837,0.427551,0.21135600000000002,0.36274300000000004,0.21454500000000004,0.21135600000000002,0,0.15210281272846193,0,0
51,0,40.589675,33.615000,6.961318,0.013357,121543,9493,1.016565,0.406118,0.211501,0.362327,0.214671,0.211501,0,0.022059390667180878,0,0
52,0,63.065406,32.865300,5.938863,24.261243,119543,9992,0.999837,0.427465,0.211678,0.361819,0.214825,0.211678,0,0.6053187809845894,0,0
53,0,40.584543,33.615300,6.961320,0.007922,121543,9492,1.016565,0.406075,0.202794,0.387328,0.207084,0.202794,0,0,0,0
54,0,38.922164,32.865600,5.938865,0.117700,119543,9991,0.999837,0.427422,0.202794,0.387328,0.207084,0.202794,0,0.06837309860242458,0,0
55,0,40.585148,33.615900,6.961325,0.007922,121543,9490,1.016565,0.405989,0.212205,0.360387,0.215203,0.212205,0,0,0,0
56,0,38.816191,32.865900,5.938866,0.011424,119543,9990,0.999837,0.427380,0.212205,0.360387,0.215203,0.212205,0,0.01700653798256535,0,0
57,0,80.239358,32.115900,4.917516,43.205942,117542,10489,0.983101,0.448727,0.212042,0.360855,0.215061,0.212042,0,1.0,0,0
58,0,51.852439,32.865900,5.938358,13.048182,119542,9989,0.999829,0.427337,0.205081,0.380845,0.208993,0.205081,0,0.37171333281625685,0,0
59,0,40.583828,33.615600,6.960306,0.007922,121541,9489,1.016548,0.405947,0.20983225,0.36723324999999996,0.21310225000000002,0.20983225,0,0,0,0
60,0,56.716686,32.865300,5.937337,17.914050,119540,9989,0.999812,0.427337,0.20983225,0.36723324999999996,0.21310225000000002,0.20983225,0,0.47308558113818566,0,0
61,0,40.582206,33.615000,6.959284,0.007922,121539,9489,1.016531,0.405947,0.21163,0.362074,0.214666,0.21163,0,0,0,0
62,0,43.833925,32.864700,5.936316,5.032908,119538,9989,0.999795,0.427337,0.21163,0.362074,0.214666,0.21163,0,0.20469733843241789,0,0
63,0,40.581395,33.614700,6.958773,0.007922,121538,9489,1.016523,0.405947,0.211507,0.362428,0.214558,0.211507,0,0,0,0
64,0,64.017225,32.864400,5.935806,25.217020,119537,9989,0.999787,0.427337,0.211507,0.362428,0.214558,0.211507,0,0.625230793931123,0,0
65,0,40.579773,33.614100,6.957750,0.007922,121536,9489,1.016506,0.405947,0.21247675000000002,0.35964375000000004,0.21540275000000003,0.21247675000000002,0,0,0,0
66,0,76.572893,32.863800,5.934785,37.774308,119535,9989,0.999770,0.427337,0.21247675000000002,0.35964375000000004,0.21540275000000003,0.21247675000000002,0,0.8868409603290749,0,0
67,0,40.578962,33.613800,6.957239,0.007922,121535,9489,1.016498,0.405947,0.205357,0.380092,0.209194,0.205357,0,0,0,0
68,0,47.846664,32.863800,5.934785,9.048079,119535,9989,0.999770,0.427337,0.205357,0.380092,0.209194,0.205357,0,0.2883776585478828,0,0
69,0,40.579004,33.613800,6.957239,0.007964,121535,9489,1.016498,0.405947,0.212449,0.359773,0.215329,0.212449,0,0.0003506721215663644,0,0
70,0,80.311029,32.863800,5.934785,41.512445,119535,9989,0.999770,0.427337,0.212576,0.359408,0.21544,0.212576,0,0.9647188100937953,0,0
71,0,40.578962,33.613800,6.957239,0.007922,121535,9489,1.016498,0.405947,0.204097,0.383761,0.208045,0.204097,0,0,0,0
72,0,42.380946,32.863800,5.934785,3.582361,119535,9989,0.999770,0.427337,0.204097,0.383761,0.208045,0.204097,0,0.1743169398907104,0,0
73,0,40.578962,33.613800,6.957239,0.007922,121535,9489,1.016498,0.405947,0.214062,0.355222,0.216654,0.214062,0,0,0,0
74,0,82.004527,32.863800,5.934785,43.205942,119535,9989,0.999770,0.427337,0.214062,0.355222,0.216654,0.214062,0,1.0,0,0
