iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,prob1,prob2,prob3
39,0,36.021665,29.989800,6.025923,0.005942,124108,24142,0.984008,0.869982,0.5592726666666666,0.22510066666666662,0.21562666666666663,0,0,0
40,0,84.972434,29.239800,5.008497,50.724137,122108,24642,0.968151,0.888000,0.5592726666666666,0.22510066666666662,0.21562666666666663,0.816711590296496,0.43999999999999995,0
41,0,36.021665,29.989800,6.025923,0.005942,124108,24142,0.984008,0.869982,0.571678,0.22892,0.199402,0,0,0
42,0,35.684478,29.239800,5.008497,1.436181,122108,24642,0.968151,0.888000,0.571678,0.22892,0.199402,0.1267942583732058,0,0
43,0,44.553036,29.989800,6.025923,8.537313,124108,24142,0.984008,0.869982,0.57409,0.227714,0.198196,0,0.2777777777777778,0
44,0,37.488388,30.439500,7.042947,0.005942,126107,24642,0.999857,0.888000,0.5694603333333333,0.23697333333333334,0.19356633333333334,0,0,0
45,0,53.258547,29.689800,6.025137,17.543610,124107,25141,0.984000,0.905982,0.5694603333333333,0.23697333333333334,0.19356633333333334,0,0.45783132530120474,0.09090909090909094
46,0,37.187515,30.139500,7.042073,0.005942,126106,25641,0.999849,0.924000,0.560686,0.251556,0.187758,0,0,0
47,0,35.419304,29.389500,6.023863,0.005942,124105,26140,0.983984,0.941982,0.560686,0.251556,0.187758,0,0,0
48,0,65.583944,28.639500,5.006617,31.937827,122105,26640,0.968127,0.960000,0.560686,0.251556,0.187758,0.008948545861297563,0.0117647058823529,0.7652173913043478
49,0,35.118558,29.089500,6.023116,0.005942,124104,27139,0.983976,0.977982,0.5505013333333333,0.2413723333333333,0.2081263333333333,0,0,0
50,0,67.747433,28.339500,5.005950,34.401983,122104,27639,0.968119,0.996000,0.5505013333333333,0.2413723333333333,0.2081263333333333,0.3137254901960784,0,0.6029411764705883
51,0,45.502625,29.089200,6.022608,10.390817,124103,27139,0.983968,0.977982,0.545089,0.231337,0.223574,0.05287356321839076,0,0.31547619047619047
52,0,36.585038,29.539200,7.039897,0.005942,126103,27639,0.999826,0.996000,0.540113,0.22631200000000004,0.23357500000000003,0,0,0
53,0,46.857145,28.789200,6.021878,12.046067,124102,28138,0.983960,1.013982,0.540113,0.22631200000000004,0.23357500000000003,0.3508771929824561,0,0
54,0,36.584530,29.539200,7.039388,0.005942,126102,27638,0.999818,0.995964,0.543807,0.224465,0.231728,0,0,0
55,0,40.102266,28.788900,6.021370,5.291996,124101,28138,0.983952,1.013982,0.543807,0.224465,0.231728,0.21014492753623193,0,0
56,0,36.583721,29.538900,7.038879,0.005942,126101,27638,0.999810,0.995964,0.5459963333333334,0.22337033333333337,0.23063333333333336,0,0,0
57,0,34.816876,28.788600,6.020861,0.007414,124100,28138,0.983944,1.013982,0.5459963333333334,0.22337033333333337,0.23063333333333336,0.009280742459396807,0,0
58,0,78.389062,28.038300,5.003261,45.347501,122099,28638,0.968079,1.032000,0.546421,0.223158,0.230421,0.9196891191709844,0,0.22499999999999998
59,0,71.467159,28.788300,6.020353,36.658507,124099,28138,0.983937,1.013982,0.56736,0.19282,0.23982,0,0.8636363636363636,0
60,0,36.281812,29.238300,7.037571,0.005942,126099,28638,0.999794,1.032000,0.5544666666666667,0.21860666666666662,0.2269266666666666,0,0,0
61,0,34.514689,28.488600,6.020147,0.005942,124099,29137,0.983937,1.049982,0.5544666666666667,0.21860666666666662,0.2269266666666666,0,0,0
62,0,33.435641,27.738300,5.002616,0.694726,122098,29637,0.968071,1.068000,0.5544666666666667,0.21860666666666662,0.2269266666666666,0,0.10526315789473695,0
63,0,34.219608,28.188600,6.019447,0.011561,124098,30136,0.983929,1.085982,0.553568,0.22040400000000002,0.22602800000000003,0,0.022471910112359605,0
64,0,33.731829,27.438300,5.001979,1.291550,122097,30636,0.968063,1.104000,0.5533486666666667,0.22084266666666671,0.2258086666666667,0.007444168734491274,0.12307692307692308,0
65,0,33.913301,27.888600,6.018759,0.005942,124097,31135,0.983921,1.121982,0.541684,0.244178,0.214138,0,0,0
66,0,63.729097,27.138600,5.001351,31.589146,122096,31634,0.968056,1.139964,0.541684,0.244178,0.214138,0.7580246913580246,0,0
67,0,33.912792,27.888600,6.018251,0.005942,124096,31134,0.983913,1.121946,0.564982,0.232529,0.202489,0,0,0
68,0,59.960780,27.138600,5.001351,27.820829,122096,31634,0.968056,1.139964,0.564982,0.232529,0.202489,0.6795180722891566,0,0
69,0,41.870344,27.888600,6.018251,7.963493,124096,31134,0.983913,1.121946,0.5841993333333333,0.2229203333333333,0.1928803333333333,0,0.26582278481012656,0
70,0,35.379016,28.338300,7.034775,0.005942,126095,31634,0.999762,1.139964,0.575596,0.240127,0.184277,0,0,0
71,0,33.611816,27.588300,6.017574,0.005942,124095,32134,0.983905,1.157982,0.575596,0.240127,0.184277,0,0,0
72,0,74.275291,26.838600,5.000730,42.435961,122095,32633,0.968048,1.175964,0.575596,0.240127,0.184277,0,0,0.984
73,0,33.311958,27.288600,6.017416,0.005942,124095,33133,0.983905,1.193982,0.562765,0.22729600000000003,0.20993900000000001,0,0,0
74,0,44.528507,26.538600,5.000624,12.989283,122095,33633,0.968048,1.212000,0.562765,0.22729600000000003,0.20993900000000001,0.026252983293556076,0.37037037037037046,0
