iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,prob1,prob2,prob3
0,0,74.755250,32.842500,7.056615,34.856135,126125,16650,1.000000,0.600000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8260869565217391,0,0
1,0,41.674274,33.592200,8.076132,0.005942,128124,16150,1.015849,0.581982,0.37038,0.31481,0.31481,0,0,0
2,0,39.903437,32.841900,7.055595,0.005942,126123,16650,0.999984,0.600000,0.37038,0.31481,0.31481,0,0,0
3,0,38.139653,32.092200,6.036415,0.011038,124123,17149,0.984127,0.617982,0.37038,0.31481,0.31481,0.021276595744680882,0,0
4,0,36.366149,31.342200,5.018008,0.005942,122123,17649,0.968270,0.636000,0.3709013333333333,0.31454933333333335,0.31454933333333335,0,0,0
5,0,35.150479,30.592200,3.999800,0.558479,120122,18148,0.952404,0.653982,0.3709013333333333,0.31454933333333335,0.31454933333333335,0,0.09999999999999998,0
6,0,36.627519,31.342200,5.017499,0.267820,122122,17648,0.968262,0.635964,0.3579333333333333,0.3404853333333333,0.3015813333333333,0.0843373493975903,0,0
7,0,66.693861,31.792200,6.035362,28.866299,124122,18148,0.984119,0.653982,0.365418,0.336743,0.297839,0.7012987012987013,0,0
8,0,39.601632,32.541900,7.053790,0.005942,126121,17648,0.999968,0.635964,0.3955526666666666,0.32167566666666664,0.28277166666666664,0,0,0
9,0,37.831886,31.791600,6.034344,0.005942,124120,18148,0.984103,0.653982,0.3955526666666666,0.32167566666666664,0.28277166666666664,0,0,0
10,0,36.063667,31.041600,5.016126,0.005942,122120,18648,0.968246,0.672000,0.3955526666666666,0.32167566666666664,0.28277166666666664,0,0,0
11,0,47.323002,30.291900,3.998569,13.032533,120120,19147,0.952389,0.689982,0.3955526666666666,0.32167566666666664,0.28277166666666664,0.37142857142857144,0,0
12,0,66.954295,31.041900,5.016126,30.896269,122120,18647,0.968246,0.671964,0.40948466666666666,0.31470966666666667,0.27580566666666667,0.7435897435897436,0,0
13,0,57.715111,31.791600,6.033835,19.889675,124119,18147,0.984095,0.653946,0.440268,0.299318,0.260414,0,0,0.5142857142857142
14,0,39.298802,32.241300,7.051560,0.005942,126118,18647,0.999944,0.671964,0.43079433333333333,0.2898443333333333,0.27936133333333335,0,0,0
15,0,37.529272,31.491000,6.032330,0.005942,124117,19147,0.984079,0.689982,0.43079433333333333,0.2898443333333333,0.27936133333333335,0,0,0
16,0,45.871099,30.740700,5.013771,10.116628,122116,19647,0.968214,0.708000,0.43079433333333333,0.2898443333333333,0.27936133333333335,0.26136363636363635,0.14847161572052403,0
17,0,37.527654,31.490400,6.031312,0.005942,124115,19147,0.984063,0.689982,0.436966,0.293884,0.26915,0,0,0
18,0,35.758796,30.740100,5.012754,0.005942,122114,19647,0.968198,0.708000,0.436966,0.293884,0.26915,0,0,0
19,0,77.189687,29.990400,3.995326,43.203961,120114,20146,0.952341,0.725982,0.436966,0.293884,0.26915,1.0,0,0
20,0,35.758879,30.740100,5.012245,0.006534,122113,19646,0.968190,0.707964,0.4754926666666667,0.2746206666666667,0.2498866666666667,0,0.004366812227074246,0
21,0,33.990673,29.989800,3.994309,0.006565,120112,20146,0.952325,0.725982,0.4752556666666667,0.27509466666666665,0.24964966666666671,0,0.004566210045662156,0
22,0,89.380361,29.239800,2.977456,57.163106,118112,20646,0.936468,0.744000,0.475026,0.275554,0.24942,0.49411764705882355,0.8967391304347826,0
23,0,59.187261,29.989500,3.993800,25.203961,120111,20146,0.952317,0.725982,0.46814666666666666,0.31602766666666665,0.2158256666666667,0,0,0.625
24,0,54.120259,30.439200,5.010431,18.670628,122110,20646,0.968167,0.744000,0.4596266666666667,0.3075076666666667,0.2328656666666667,0,0,0.4888888888888888
25,0,36.923374,30.889500,6.027933,0.005942,124110,21145,0.984024,0.761982,0.45193066666666665,0.29981166666666664,0.24825766666666663,0,0,0
26,0,35.155612,30.139500,5.010170,0.005942,122110,21645,0.968167,0.780000,0.45193066666666665,0.29981166666666664,0.24825766666666663,0,0,0
