iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,prob1,prob2,prob3,prob4,prob5,prob6
0,0,70.378607,36.010200,12.530768,21.837640,136433,16399,0.999998,0.599963,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0,0,0.5547445255474452,0,0,0
1,0,123.252859,36.760200,13.555092,72.937566,138433,15899,1.014657,0.581671,0.15795983333333333,0.15795983333333333,0.20941683333333333,0.15795983333333333,0.15874383333333333,0.15795983333333333,0,0,0.7193675889328064,0,1.0,0
2,0,52.103031,37.510500,14.580648,0.011883,140433,15398,1.029316,0.563341,0.14730816666666666,0.14730816666666666,0.21770616666666667,0.14730816666666666,0.19306116666666667,0.14730816666666666,0,0,0,0,0,0
3,0,93.525802,36.760800,13.555099,43.209903,138433,15897,1.014657,0.581598,0.14730816666666666,0.14730816666666666,0.21770616666666667,0.14730816666666666,0.19306116666666667,0.14730816666666666,0,0,1.0,0,0,0
4,0,52.103335,37.510800,14.580652,0.011883,140433,15397,1.029316,0.563305,0.14277083333333332,0.14277083333333332,0.2398598333333333,0.14277083333333332,0.1890568333333333,0.14277083333333332,0,0,0,0,0,0
5,0,50.327782,36.760800,13.555099,0.011883,138433,15897,1.014657,0.581598,0.14277083333333332,0.14277083333333332,0.2398598333333333,0.14277083333333332,0.1890568333333333,0.14277083333333332,0,0,0,0,0,0
6,0,97.241000,36.011100,12.530776,48.699125,136433,16396,0.999998,0.599854,0.14277083333333332,0.14277083333333332,0.2398598333333333,0.14277083333333332,0.1890568333333333,0.14277083333333332,0,0,1.0,0,0.21438263229308008,0
7,0,55.128086,36.761100,13.555103,4.811883,138433,15896,1.014657,0.581561,0.1368773333333333,0.1368773333333333,0.25959533333333334,0.1368773333333333,0.1928953333333333,0.1368773333333333,0.19999999999999996,0,0,0,0,0
8,0,51.799728,37.211100,14.576745,0.011883,140433,16396,1.029316,0.599854,0.14080233333333336,0.13608033333333336,0.2587983333333333,0.13608033333333336,0.19215833333333335,0.13608033333333336,0,0,0,0,0,0
9,0,72.530651,36.461400,13.551928,22.517323,138433,16895,1.014657,0.618110,0.14080233333333336,0.13608033333333336,0.2587983333333333,0.13608033333333336,0.19215833333333335,0.13608033333333336,0,0,0.568904593639576,0,0,0
10,0,51.800335,37.211700,14.576752,0.011883,140433,16394,1.029316,0.599780,0.13816233333333336,0.13344033333333336,0.2716303333333333,0.13344033333333336,0.18988633333333335,0.13344033333333336,0,0,0,0,0,0
11,0,63.256755,36.462000,13.551934,13.242822,138433,16893,1.014657,0.618037,0.13816233333333336,0.13344033333333336,0.2716303333333333,0.13344033333333336,0.18988633333333335,0.13344033333333336,0.03703703703703709,0,0,0,0.3753501400560224,0
12,0,51.800639,37.212000,14.576756,0.011883,140433,16393,1.029316,0.599744,0.13538266666666665,0.13064166666666666,0.2688316666666667,0.13064166666666666,0.20386066666666663,0.13064166666666666,0,0,0,0,0,0
13,0,50.025817,36.462000,13.551934,0.011883,138433,16893,1.014657,0.618037,0.13538266666666665,0.13064166666666666,0.2688316666666667,0.13064166666666666,0.20386066666666663,0.13064166666666666,0,0,0,0,0,0
14,0,48.252411,35.712300,12.528228,0.011883,136433,17392,0.999998,0.636293,0.13538266666666665,0.13064166666666666,0.2688316666666667,0.13064166666666666,0.20386066666666663,0.13064166666666666,0,0,0,0,0,0
15,0,46.946161,34.962300,11.505029,0.478832,134432,17891,0.985331,0.654549,0.13538266666666665,0.13064166666666666,0.2688316666666667,0.13064166666666666,0.20386066666666663,0.13064166666666666,0,0,0.09621993127147765,0,0,0
16,0,70.619224,35.712300,12.527210,22.379714,136431,17390,0.999983,0.636220,0.13520783333333333,0.13046683333333334,0.26968083333333337,0.13046683333333334,0.20371083333333334,0.13046683333333334,0.5660377358490567,0,0,0,0,0
17,0,50.024292,36.462000,13.550408,0.011883,138430,16890,1.014635,0.617927,0.14565766666666666,0.12834566666666664,0.2675596666666667,0.12834566666666664,0.20174566666666666,0.12834566666666664,0,0,0,0,0,0
18,0,67.976010,35.712000,12.526699,19.737310,136430,17390,0.999976,0.636220,0.14565766666666666,0.12834566666666664,0.2675596666666667,0.12834566666666664,0.20174566666666666,0.12834566666666664,0,0.2384615384615384,0.06737588652482274,0.009708737864077777,0,0.37037037037037046
19,0,50.024292,36.462000,13.550408,0.011883,138430,16890,1.014635,0.617927,0.14255283333333335,0.13538283333333334,0.26466883333333335,0.12524283333333333,0.19886083333333335,0.13329183333333333,0,0,0,0,0,0
20,0,75.987686,35.712000,12.526699,27.748986,136430,17390,0.999976,0.636220,0.14255283333333335,0.13538283333333334,0.26466883333333335,0.12524283333333333,0.19886083333333335,0.13329183333333333,0,0,0,0,0.6778975741239892,0
21,0,50.042529,36.462000,13.550408,0.030121,138430,16890,1.014635,0.617927,0.1378476666666667,0.1306776666666667,0.25996366666666665,0.1205376666666667,0.2223866666666667,0.1285866666666667,0,0,0.03891050583657585,0,0,0
22,0,91.448602,35.712000,12.526699,43.209903,136430,17390,0.999976,0.636220,0.137703,0.130533,0.260667,0.120393,0.222262,0.128442,1.0,0,0,0,0,0
23,0,84.526659,36.462000,13.550408,34.514251,138430,16890,1.014635,0.617927,0.175044,0.122951,0.253085,0.112811,0.215249,0.12086,0,0,0.8188405797101449,0,0,0
24,0,51.799418,37.212300,14.575235,0.011883,140430,16389,1.029294,0.599598,0.167455,0.115362,0.289995,0.105222,0.208695,0.113271,0,0,0,0,0,0
25,0,50.024898,36.462600,13.550414,0.011883,138430,16888,1.014635,0.617854,0.167455,0.115362,0.289995,0.105222,0.208695,0.113271,0,0,0,0,0,0
26,0,48.251490,35.712900,12.526707,0.011883,136430,17387,0.999976,0.636110,0.167455,0.115362,0.289995,0.105222,0.208695,0.113271,0,0,0,0,0,0
27,0,101.318362,34.962900,11.503507,54.851954,134429,17886,0.985309,0.654366,0.167455,0.115362,0.289995,0.105222,0.208695,0.113271,0,0.6470588235294118,0,0.5733333333333333,0,0.22222222222222232
28,0,48.250473,35.712900,12.525689,0.011883,136428,17385,0.999961,0.636037,0.150749,0.147796,0.273289,0.130104,0.192999,0.105063,0,0,0,0,0,0
29,0,91.736711,34.963200,11.503000,45.270511,134428,17884,0.985302,0.654293,0.150749,0.147796,0.273289,0.130104,0.192999,0.105063,0,0,0.11913357400722013,0.6020408163265307,0.0013404825737265424,0.5172413793103449
30,0,48.251078,35.713500,12.525694,0.011883,136428,17383,0.999961,0.635963,0.13861616666666665,0.13566316666666667,0.2655011666666667,0.16664616666666665,0.18173816666666667,0.11183516666666668,0,0,0,0,0,0
