iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,prob1,prob2,prob3
0,0,83.103076,32.842500,7.056615,43.203961,126125,16650,1.000000,0.600000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1.0,0
1,0,66.124058,33.592200,8.076132,24.455726,128124,16150,1.015849,0.581982,0.313019,0.373962,0.313019,0,0.6094117647058823,0
2,0,43.445228,34.342200,9.097086,0.005942,130124,15650,1.031707,0.563964,0.2992913333333333,0.40141733333333335,0.2992913333333333,0,0,0
3,0,70.808529,33.591900,8.075622,29.141007,128123,16150,1.015841,0.581982,0.2992913333333333,0.40141733333333335,0.2992913333333333,0,0.7070217917675545,0
4,0,43.444418,34.341900,9.096576,0.005942,130123,15650,1.031699,0.563964,0.28319,0.43362,0.28319,0,0,0
5,0,41.798591,33.591600,8.075112,0.131879,128122,16150,1.015833,0.581982,0.28319,0.43362,0.28319,0,0.07079646017699115,0
6,0,43.443607,34.341600,9.096066,0.005942,130122,15650,1.031691,0.563964,0.28271,0.43458,0.28271,0,0,0
7,0,43.638887,33.591300,8.074602,1.972985,128121,16150,1.015826,0.581982,0.28271,0.43458,0.28271,0,0.13953488372093026,0
8,0,43.442797,34.341300,9.095555,0.005942,130121,15650,1.031683,0.563964,0.2768503333333333,0.4462993333333333,0.2768503333333333,0,0,0
9,0,41.671844,33.591300,8.074602,0.005942,128121,16150,1.015826,0.581982,0.2768503333333333,0.4462993333333333,0.2768503333333333,0,0,0
10,0,83.099028,32.841000,7.054067,43.203961,126120,16650,0.999960,0.600000,0.2768503333333333,0.4462993333333333,0.2768503333333333,0,1.0,0
11,0,41.671034,33.591000,8.074092,0.005942,128120,16150,1.015818,0.581982,0.25570433333333337,0.4885913333333334,0.25570433333333337,0,0,0
12,0,76.499381,32.840700,7.053557,36.605124,126119,16650,0.999952,0.600000,0.25570433333333337,0.4885913333333334,0.25570433333333337,0.02857142857142847,0.8623376623376624,0
13,0,41.670224,33.590700,8.073582,0.005942,128119,16150,1.015810,0.581982,0.237507,0.525008,0.237485,0,0,0
14,0,39.899389,32.840400,7.053048,0.005942,126118,16650,0.999944,0.600000,0.237507,0.525008,0.237485,0,0,0
15,0,38.158064,32.090400,6.033360,0.034304,124117,17149,0.984079,0.617982,0.237507,0.525008,0.237485,0,0.04578313253012045,0
16,0,108.676526,31.340100,5.014445,72.321981,122116,17649,0.968214,0.636000,0.23724633333333336,0.5255293333333334,0.23722433333333334,0.7066666666666667,1.0,0
17,0,38.306521,32.089800,6.032341,0.184380,124115,17149,0.984063,0.617982,0.24239300000000003,0.548943,0.20866400000000002,0,0.07709251101321579,0
18,0,39.897261,32.839800,7.051520,0.005942,126115,16649,0.999921,0.599964,0.242098,0.549533,0.208369,0,0,0
19,0,62.623994,32.089500,6.031832,24.502662,124114,17149,0.984056,0.617982,0.242098,0.549533,0.208369,0.6103896103896104,0,0
20,0,39.595665,32.539500,7.050223,0.005942,126114,17649,0.999913,0.636000,0.263516,0.538824,0.19766,0,0,0
21,0,88.019045,31.789800,6.031289,50.197956,124114,18148,0.984056,0.653982,0.263516,0.538824,0.19766,0,0.8746803069053708,0.371069182389937
22,0,39.595966,32.539800,7.050224,0.005942,126114,17648,0.999913,0.635964,0.2362606666666667,0.5594206666666667,0.2043186666666667,0,0,0
23,0,39.758737,31.789800,6.031289,1.937648,124114,18148,0.984056,0.653982,0.2362606666666667,0.5594206666666667,0.2043186666666667,0,0,0.138728323699422
24,0,39.295264,32.239800,7.049522,0.005942,126114,18648,0.999913,0.672000,0.2323276666666667,0.5554876666666667,0.21218466666666672,0,0,0
25,0,48.903436,31.490100,6.030803,11.382533,124114,19147,0.984056,0.689982,0.2323276666666667,0.5554876666666667,0.21218466666666672,0,0.3370535714285715,0
26,0,39.295564,32.240100,7.049523,0.005942,126114,18647,0.999913,0.671964,0.22651633333333335,0.5671103333333334,0.20637333333333335,0,0,0
27,0,37.526844,31.490100,6.030803,0.005942,124114,19147,0.984056,0.689982,0.22651633333333335,0.5671103333333334,0.20637333333333335,0,0,0
28,0,53.787494,30.739800,5.012245,18.035449,122113,19647,0.968190,0.708000,0.22651633333333335,0.5671103333333334,0.20637333333333335,0,0.2819905213270142,0.29370629370629375
29,0,72.620159,31.489800,6.030294,35.100065,124113,19147,0.984048,0.689982,0.213769,0.567383,0.218848,0.8311688311688312,0,0
30,0,38.994124,31.939800,7.048383,0.005942,126113,19647,0.999905,0.708000,0.2406616666666666,0.5539366666666666,0.20540166666666662,0,0,0
31,0,37.234451,31.190100,6.029856,0.014495,124113,20146,0.984048,0.725982,0.2406616666666666,0.5539366666666666,0.20540166666666662,0,0.01388888888888895,0.023255813953488413
32,0,100.635838,30.439800,5.011449,65.184589,122112,20646,0.968182,0.744000,0.240391,0.55379,0.205819,0,1.0,0.5579710144927537
33,0,52.893696,31.189800,6.029347,15.674549,124112,20146,0.984040,0.725982,0.209688,0.567467,0.222845,0.42647058823529416,0,0
34,0,38.693046,31.639800,7.047305,0.005942,126112,20646,0.999897,0.744000,0.223294,0.560664,0.216042,0,0,0
35,0,56.683759,30.890100,6.028950,19.764709,124112,21145,0.984040,0.761982,0.223294,0.560664,0.216042,0,0.5116822429906542,0
36,0,52.623074,31.640100,7.047305,13.935668,126112,20645,0.999897,0.743964,0.215371,0.57651,0.208119,0.3902439024390244,0,0
37,0,40.160819,32.089800,8.065077,0.005942,128111,21145,1.015746,0.761982,0.229109,0.569641,0.20125,0,0,0
38,0,38.392021,31.339800,7.046279,0.005942,126111,21645,0.999889,0.780000,0.229109,0.569641,0.20125,0,0,0
39,0,36.624123,30.590100,6.028081,0.005942,124111,22144,0.984032,0.797982,0.229109,0.569641,0.20125,0,0,0
40,0,35.709867,29.839800,5.009932,0.860135,122110,22644,0.968167,0.816000,0.229109,0.569641,0.20125,0,0.11083743842364535,0
41,0,36.623314,30.589800,6.027572,0.005942,124110,22144,0.984024,0.797982,0.228164,0.571531,0.200305,0,0,0
42,0,53.083279,29.839800,5.009932,18.233547,122110,22644,0.968167,0.816000,0.228164,0.571531,0.200305,0,0.3495145631067962,0.23030303030303034
43,0,43.250106,30.589800,6.027572,6.632734,124110,22144,0.984024,0.797982,0.217214,0.574152,0.208634,0.23809523809523814,0,0
44,0,38.090232,31.039500,7.044791,0.005942,126109,22644,0.999873,0.816000,0.22495733333333334,0.5702803333333334,0.20476233333333335,0,0,0
45,0,39.245143,30.289800,6.026734,2.928609,124109,23143,0.984016,0.833982,0.22495733333333334,0.5702803333333334,0.20476233333333335,0,0,0.16049382716049387
46,0,37.789293,30.739500,7.043851,0.005942,126108,23643,0.999865,0.852000,0.220145,0.565468,0.214387,0,0,0
47,0,36.021665,29.989800,6.025923,0.005942,124108,24142,0.984008,0.869982,0.220145,0.565468,0.214387,0,0,0
48,0,63.552006,29.239800,5.008497,29.303709,122108,24642,0.968151,0.888000,0.220145,0.565468,0.214387,0.5405405405405406,0.26991150442477874,0
49,0,36.021665,29.989800,6.025923,0.005942,124108,24142,0.984008,0.869982,0.23322,0.563607,0.203173,0,0,0
50,0,78.526271,29.239800,5.008497,44.277974,122108,24642,0.968151,0.888000,0.23322,0.563607,0.203173,0.44594594594594594,0.0,0.6764705882352942
51,0,67.120184,29.690100,6.025645,31.404438,124108,25141,0.984008,0.905982,0.2280896666666666,0.5377296666666667,0.23418066666666662,0,0.7541766109785203,0
52,0,37.488689,30.439800,7.042947,0.005942,126107,24641,0.999857,0.887964,0.2184746666666667,0.5569596666666667,0.2245656666666667,0,0,0
53,0,58.438898,29.689800,6.025137,22.723961,124107,25141,0.984000,0.905982,0.2184746666666667,0.5569596666666667,0.2245656666666667,0.5733333333333333,0,0
54,0,37.187515,30.139500,7.042073,0.005942,126106,25641,0.999849,0.924000,0.237084,0.547655,0.215261,0,0,0
55,0,35.419304,29.389500,6.023863,0.005942,124105,26140,0.983984,0.941982,0.237084,0.547655,0.215261,0,0,0
56,0,33.652058,28.639500,5.006617,0.005942,122105,26640,0.968127,0.960000,0.237084,0.547655,0.215261,0,0,0
57,0,93.988899,27.889800,3.989802,62.109298,120105,27139,0.952270,0.977982,0.237084,0.547655,0.215261,0,1.0,0.49390243902439024
58,0,62.732731,28.639800,5.006617,29.086314,122105,26639,0.968127,0.959964,0.21464366666666662,0.5535526666666666,0.23180366666666663,0.7058823529411764,0,0
59,0,35.118558,29.089500,6.023116,0.005942,124104,27139,0.983976,0.977982,0.2353843333333333,0.5431823333333333,0.2214333333333333,0,0,0
60,0,42.595220,28.339500,5.005950,9.249770,122104,27639,0.968119,0.996000,0.2353843333333333,0.5431823333333333,0.2214333333333333,0,0.292620865139949,0
61,0,35.130933,29.089200,6.022608,0.019125,124103,27139,0.983968,0.977982,0.232457,0.549037,0.218506,0,0.03406326034063256,0
62,0,76.549981,28.338900,5.004933,43.206148,122102,27639,0.968103,0.996000,0.232232,0.549487,0.218281,0,1.0,0.012422360248447228
63,0,35.116132,29.088600,6.021590,0.005942,124101,27139,0.983952,0.977982,0.222381,0.569184,0.208435,0,0,0
64,0,54.995157,28.338300,5.003916,21.652941,122100,27639,0.968087,0.996000,0.222381,0.569184,0.208435,0,0,0.5510204081632653
65,0,34.915997,28.788300,6.020353,0.107344,124099,28138,0.983937,1.013982,0.2068456666666667,0.5536486666666667,0.2395056666666667,0,0.06698564593301437,0
66,0,51.830756,29.538300,7.037862,15.254594,126099,27638,0.999794,0.995964,0.2066806666666667,0.5539786666666667,0.2393406666666667,0.4177215189873418,0,0
67,0,38.048849,29.988000,8.054907,0.005942,128098,28138,1.015643,1.013982,0.234986,0.539826,0.225188,0,0,0
68,0,36.281004,29.238000,7.037062,0.005942,126098,28638,0.999786,1.032000,0.234986,0.539826,0.225188,0,0,0
69,0,73.718315,28.488300,6.019639,39.210377,124098,29137,0.983929,1.049982,0.234986,0.539826,0.225188,0.4505494505494505,0.5662921348314607,0
70,0,36.281304,29.238300,7.037062,0.005942,126098,28637,0.999786,1.031964,0.253973,0.547088,0.198939,0,0,0
71,0,35.159031,28.488300,6.019639,0.651093,124098,29137,0.983929,1.049982,0.253973,0.547088,0.198939,0,0.0,0.10365853658536583
72,0,35.981033,28.938300,7.036791,0.005942,126098,29637,0.999786,1.068000,0.25055000000000005,0.543665,0.20578500000000002,0,0,0
73,0,34.213989,28.188600,6.019447,0.005942,124098,30136,0.983929,1.085982,0.25055000000000005,0.543665,0.20578500000000002,0,0,0
74,0,49.349959,27.438300,5.001979,16.909680,122097,30636,0.968063,1.104000,0.25055000000000005,0.543665,0.20578500000000002,0,0.4494117647058824,0.07189542483660127
75,0,52.781211,28.188300,6.018938,18.573972,124097,30136,0.983921,1.085982,0.242573,0.557748,0.199679,0.48235294117647065,0,0.08074534161490687
76,0,35.680271,28.638300,7.036029,0.005942,126097,30636,0.999778,1.104000,0.25835,0.548997,0.192653,0,0,0
77,0,33.913301,27.888600,6.018759,0.005942,124097,31135,0.983921,1.121982,0.25835,0.548997,0.192653,0,0,0
78,0,97.240757,27.138600,5.001351,65.100806,122096,31634,0.968056,1.139964,0.25835,0.548997,0.192653,0.7971014492753623,0,0.7591240875912408
79,0,44.775303,27.588600,6.018082,11.168620,124096,32134,0.983913,1.157982,0.260939,0.532463,0.206598,0,0.15384615384615374,0.2781456953642384
80,0,35.379016,28.338300,7.034775,0.005942,126095,31634,0.999762,1.139964,0.256158,0.529506,0.214336,0,0,0
81,0,45.304582,27.588300,6.017574,11.698708,124095,32134,0.983905,1.157982,0.256158,0.529506,0.214336,0.10752688172043001,0.32794457274826794,0
82,0,35.718668,28.338000,7.034266,0.346402,126094,31634,0.999754,1.139964,0.255929,0.531663,0.212408,0,0.08955223880597019,0
83,0,37.144973,29.087700,8.051332,0.005942,128093,31134,1.015604,1.121946,0.25564366666666666,0.5322336666666667,0.2121226666666667,0,0,0
84,0,35.376590,28.337400,7.033249,0.005942,126092,31634,0.999738,1.139964,0.25564366666666666,0.5322336666666667,0.2121226666666667,0,0,0
85,0,70.888793,27.587100,6.015540,37.286153,124091,32134,0.983873,1.157982,0.25564366666666666,0.5322336666666667,0.2121226666666667,0.8767123287671232,0,0
86,0,35.735010,28.336800,7.032231,0.365979,126090,31634,0.999722,1.139964,0.270751,0.52468,0.204569,0,0.09069767441860466,0
87,0,37.142547,29.086800,8.049805,0.005942,128090,31134,1.015580,1.121946,0.2705963333333333,0.5249893333333334,0.20441433333333336,0,0,0
88,0,44.286481,28.336500,7.031723,8.918258,126089,31634,0.999715,1.139964,0.2705963333333333,0.5249893333333334,0.20441433333333336,0,0.2857142857142857,0
89,0,37.141738,29.086500,8.049297,0.005942,128089,31134,1.015572,1.121946,0.26926000000000005,0.527662,0.20307800000000004,0,0,0
90,0,35.374858,28.336500,7.031723,0.006635,126089,31634,0.999715,1.139964,0.26926000000000005,0.527662,0.20307800000000004,0,0.005012531328320913,0
91,0,73.119391,27.586200,6.014015,39.519177,124088,32134,0.983849,1.157982,0.26910100000000003,0.52798,0.20291900000000002,0,0.40963855421686746,0.6136363636363636
92,0,35.373356,28.336200,7.031214,0.005942,126088,31634,0.999707,1.139964,0.25826133333333334,0.5222693333333334,0.21946933333333335,0,0,0
93,0,33.605348,27.585900,6.013506,0.005942,124087,32134,0.983841,1.157982,0.25826133333333334,0.5222693333333334,0.21946933333333335,0,0,0
94,0,59.940193,26.835900,4.996155,28.108138,122086,32633,0.967976,1.175964,0.25826133333333334,0.5222693333333334,0.21946933333333335,0,0.6855036855036856,0
95,0,35.805477,27.585600,6.012489,2.207387,124085,32133,0.983826,1.157946,0.25562833333333335,0.5275353333333332,0.2168363333333333,0.14473684210526316,0,0.01612903225806439
96,0,35.071007,28.035600,7.029466,0.005942,126085,32633,0.999683,1.175964,0.2579606666666666,0.5263666666666666,0.21567266666666662,0,0,0
97,0,35.999280,27.285600,6.012331,2.701349,124085,33133,0.983826,1.193982,0.2579606666666666,0.5263666666666666,0.21567266666666662,0.0,0.15540540540540537,0.029585798816568087
98,0,35.071007,28.035600,7.029466,0.005942,126085,32633,0.999683,1.175964,0.257366,0.527536,0.215098,0,0,0
99,0,72.533378,27.285600,6.012331,39.235446,124085,33133,0.983826,1.193982,0.257366,0.527536,0.215098,0,0.9069212410501193,0.0977011494252874
100,0,37.169967,28.035600,7.029466,2.104901,126085,32633,0.999683,1.175964,0.253137,0.533921,0.212942,0,0.14251781472684077,0
101,0,36.837693,28.785300,8.046452,0.005942,128084,32133,1.015532,1.157946,0.25257833333333335,0.5350383333333333,0.21238333333333329,0,0,0
102,0,35.070199,28.035300,7.028957,0.005942,126084,32633,0.999675,1.175964,0.25257833333333335,0.5350383333333333,0.21238333333333329,0,0,0
103,0,57.553716,27.285300,6.011823,24.256593,124084,33133,0.983818,1.193982,0.25257833333333335,0.5350383333333333,0.21238333333333329,0.6052631578947368,0.0,0
104,0,35.070199,28.035300,7.028957,0.005942,126084,32633,0.999675,1.175964,0.26290766666666665,0.5298736666666667,0.2072186666666667,0,0,0
105,0,77.432954,27.285300,6.011823,44.135831,124084,33133,0.983818,1.193982,0.26290766666666665,0.5298736666666667,0.2072186666666667,0,0.5050761421319797,0.6143790849673203
106,0,35.070199,28.035300,7.028957,0.005942,126084,32633,0.999675,1.175964,0.251765,0.52459,0.223645,0,0,0
107,0,33.303065,27.285300,6.011823,0.005942,124084,33133,0.983818,1.193982,0.251765,0.52459,0.223645,0,0,0
108,0,42.827220,26.535000,4.994525,11.297695,122083,33633,0.967952,1.212000,0.251765,0.52459,0.223645,0,0.30999999999999994,0.12121212121212122
109,0,43.881953,27.285000,6.011315,10.585638,124083,33133,0.983810,1.193982,0.249316,0.525455,0.225229,0,0.28605200945626474,0.13218390804597702
110,0,35.069390,28.035000,7.028449,0.005942,126083,32633,0.999667,1.175964,0.246409,0.525921,0.22767,0,0,0
111,0,33.308065,27.285000,6.011315,0.011750,124083,33133,0.983810,1.193982,0.246409,0.525921,0.22767,0,0.022883295194508046,0
112,0,102.277092,26.534700,4.994016,70.748376,122082,33633,0.967944,1.212000,0.24618633333333328,0.5263663333333333,0.2274473333333333,0.6764705882352942,0.8320209973753281,0.26543209876543217
113,0,65.950780,27.284700,6.010806,32.655274,124082,33133,0.983802,1.193982,0.261244,0.51376,0.224996,0,0.770935960591133,0.09523809523809534
