iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14,weight15,weight16,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16
0,1,246.050969,30.838200,0.000190,215.212579,130234,27440,0.999997,0.599986,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.03934426229508192,0.71,0.02055335968379446,0.37269193391642375,1.0,1.0,0,1.0,0,0,0,0,0,0,0,1.0
1,3,38.460812,31.288200,1.014642,6.157970,132233,27939,1.015346,0.610897,0.05071299999999999,0.08390699999999998,0.04496099999999999,0.06310999999999999,0.10721699999999999,0.08459399999999999,0.043805999999999984,0.08277299999999999,0.043132999999999984,0.04287999999999999,0.05172199999999998,0.046837999999999984,0.049279999999999984,0.04970099999999999,0.04970099999999999,0.10566399999999998,0,0,0,0,0.0,0.22760451227604517,0,0.014947683109118093,0,0,0,0,0,0,0,0
1,2,41.145266,31.288200,1.014642,8.842423,132233,27939,1.015346,0.610897,0.05071299999999999,0.08390699999999998,0.04496099999999999,0.06310999999999999,0.10721699999999999,0.08459399999999999,0.043805999999999984,0.08277299999999999,0.043132999999999984,0.04287999999999999,0.05172199999999998,0.046837999999999984,0.049279999999999984,0.04970099999999999,0.04970099999999999,0.10566399999999998,0,0,0,0,0.08254716981132082,0.2127351664254704,0,0.15924426450742246,0,0,0,0,0,0,0,0.0868443680137575
1,1,51.298147,31.288200,1.014642,18.995304,132233,27939,1.015346,0.610897,0.05071299999999999,0.08390699999999998,0.04496099999999999,0.06310999999999999,0.10721699999999999,0.08459399999999999,0.043805999999999984,0.08277299999999999,0.043132999999999984,0.04287999999999999,0.05172199999999998,0.046837999999999984,0.049279999999999984,0.04970099999999999,0.04970099999999999,0.10566399999999998,0,0,0,0,0.17809867629362208,0.41633466135458175,0,0.026627218934911268,0,0,0,0,0,0,0,0.040068201193520836
1,0,102.494424,31.288200,1.014642,70.191582,132233,27939,1.015346,0.610897,0.05071299999999999,0.08390699999999998,0.04496099999999999,0.06310999999999999,0.10721699999999999,0.08459399999999999,0.043805999999999984,0.08277299999999999,0.043132999999999984,0.04287999999999999,0.05172199999999998,0.046837999999999984,0.049279999999999984,0.04970099999999999,0.04970099999999999,0.10566399999999998,0.05042567125081854,0.02457002457002455,0,0,0.7117794486215538,0.9419986023759609,0,0.08139534883720934,0,0,0,0,0,0,0,0.06893542757417104
2,1,35.481045,32.038200,2.029830,1.413014,134232,27438,1.030696,0.599943,0.0495620625,0.08202106249999999,0.043315062499999994,0.06151906249999999,0.11450706249999999,0.0952640625,0.042038062499999994,0.08303206249999999,0.041277062499999996,0.040990062499999994,0.05099306249999999,0.045468062499999996,0.0482310625,0.048707062499999995,0.048707062499999995,0.1043680625,0.02959394356503786,0,0,0,0.05334846765039725,0.12412831241283129,0,0.008368200836820106,0,0,0,0,0,0,0,0
2,3,44.335804,32.038200,2.029830,10.267774,134232,27438,1.030696,0.599943,0.0495620625,0.08202106249999999,0.043315062499999994,0.06151906249999999,0.11450706249999999,0.0952640625,0.042038062499999994,0.08303206249999999,0.041277062499999996,0.040990062499999994,0.05099306249999999,0.045468062499999996,0.0482310625,0.048707062499999995,0.048707062499999995,0.1043680625,0,0,0,0,0.020809248554913284,0.2862092862092862,0,0.04761904761904756,0,0,0,0,0,0,0,0.12252252252252249
2,0,51.191164,32.038200,2.029830,17.123134,134232,27438,1.030696,0.599943,0.0495620625,0.08202106249999999,0.043315062499999994,0.06151906249999999,0.11450706249999999,0.0952640625,0.042038062499999994,0.08303206249999999,0.041277062499999996,0.040990062499999994,0.05099306249999999,0.045468062499999996,0.0482310625,0.048707062499999995,0.048707062499999995,0.1043680625,0,0,0,0,0.06697459584295617,0.452683615819209,0,0.05891238670694865,0,0,0,0,0,0,0,0
2,2,54.401571,32.038200,2.029830,20.333541,134232,27438,1.030696,0.599943,0.0495620625,0.08202106249999999,0.043315062499999994,0.06151906249999999,0.11450706249999999,0.0952640625,0.042038062499999994,0.08303206249999999,0.041277062499999996,0.040990062499999994,0.05099306249999999,0.045468062499999996,0.0482310625,0.048707062499999995,0.048707062499999995,0.1043680625,0.0870712401055409,0,0,0,0.18181818181818177,0.30811554332874824,0,0.2267441860465116,0,0,0,0,0,0,0,0
3,3,35.867675,32.788200,3.045902,0.033573,136232,26938,1.046053,0.589010,0.049420000000000006,0.080983,0.042413000000000006,0.06064800000000001,0.11592,0.10100100000000001,0.04106800000000001,0.084594,0.04025800000000001,0.03995200000000001,0.05060300000000001,0.04472000000000001,0.04766200000000001,0.048169000000000003,0.048169000000000003,0.10442000000000001,0,0,0,0,0,0.009475218658892115,0,0.0028694404591104172,0,0,0,0,0,0,0,0
3,1,37.158745,32.788200,3.045902,1.324644,136232,26938,1.046053,0.589010,0.049420000000000006,0.080983,0.042413000000000006,0.06064800000000001,0.11592,0.10100100000000001,0.04106800000000001,0.084594,0.04025800000000001,0.03995200000000001,0.05060300000000001,0.04472000000000001,0.04766200000000001,0.048169000000000003,0.048169000000000003,0.10442000000000001,0,0,0,0,0,0.12329700272479571,0,0,0,0,0,0,0,0,0,0
