iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,prob1,prob2,prob3
0,0,83.103076,32.842500,7.056615,43.203961,126125,16650,1.000000,0.600000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1.0
1,0,42.965643,33.592200,8.076132,1.297312,128124,16150,1.015849,0.581982,0.313019,0.313019,0.373962,0,0,0.12325581395348839
2,0,43.445228,34.342200,9.097086,0.005942,130124,15650,1.031707,0.563964,0.310794,0.310794,0.378412,0,0,0
3,0,63.736205,33.591900,8.075622,22.068683,128123,16150,1.015841,0.581982,0.310794,0.310794,0.378412,0,0,0.5596816976127321
4,0,43.444418,34.341900,9.096576,0.005942,130123,15650,1.031699,0.563964,0.298161,0.298161,0.403678,0,0,0
5,0,41.672654,33.591600,8.075112,0.005942,128122,16150,1.015833,0.581982,0.298161,0.298161,0.403678,0,0,0
6,0,53.302736,32.841300,7.054576,13.406860,126121,16650,0.999968,0.600000,0.298161,0.298161,0.403678,0,0,0.37922705314009664
7,0,72.244013,33.591300,8.074602,30.578111,128121,16150,1.015826,0.581982,0.290195,0.290195,0.41961,0,0,0.7369614512471655
8,0,43.442797,34.341300,9.095555,0.005942,130121,15650,1.031683,0.563964,0.273328,0.273328,0.453344,0,0,0
9,0,41.712085,33.591300,8.074602,0.046183,128121,16150,1.015826,0.581982,0.273328,0.273328,0.453344,0,0,0.05141388174807204
10,0,83.099028,32.841000,7.054067,43.203961,126120,16650,0.999960,0.600000,0.27308466666666664,0.27308466666666664,0.4538306666666666,0,0,1.0
11,0,41.671034,33.591000,8.074092,0.005942,128120,16150,1.015818,0.581982,0.251932,0.251932,0.496136,0,0,0
12,0,46.735399,32.840700,7.053557,6.841141,126119,16650,0.999952,0.600000,0.251932,0.251932,0.496136,0.24242424242424232,0,0.004807692307692291
13,0,41.369431,33.291000,8.072489,0.005942,128119,17149,1.015810,0.617982,0.2613683333333333,0.24721333333333334,0.49141833333333335,0,0,0
14,0,41.942760,32.540700,7.052261,2.349799,126118,17649,0.999944,0.636000,0.2613683333333333,0.24721333333333334,0.49141833333333335,0,0,0.1479591836734695
15,0,41.368621,33.290700,8.071979,0.005942,128118,17149,1.015802,0.617982,0.258511,0.244356,0.497133,0,0,0
16,0,48.476109,32.540400,7.051752,8.883957,126117,17649,0.999937,0.636000,0.258511,0.244356,0.497133,0.1910112359550562,0,0.1938997821350762
17,0,41.367811,33.290400,8.071470,0.005942,128117,17149,1.015794,0.617982,0.26207,0.236674,0.501256,0,0,0
18,0,39.895877,32.540400,7.051752,0.303726,126117,17649,0.999937,0.636000,0.26207,0.236674,0.501256,0,0,0.0868596881959911
19,0,41.367811,33.290400,8.071470,0.005942,128117,17149,1.015794,0.617982,0.261518,0.236122,0.50236,0,0,0
20,0,42.177780,32.540400,7.051752,2.585629,126117,17649,0.999937,0.636000,0.261518,0.236122,0.50236,0,0,0.15311004784688997
21,0,41.367811,33.290400,8.071470,0.005942,128117,17149,1.015794,0.617982,0.258528,0.233132,0.50834,0,0,0
22,0,39.598093,32.540400,7.051752,0.005942,126117,17649,0.999937,0.636000,0.258528,0.233132,0.50834,0,0,0
23,0,81.026668,31.790400,6.032307,43.203961,124116,18148,0.984071,0.653982,0.258528,0.233132,0.50834,0,0,1.0
24,0,39.597585,32.540400,7.051243,0.005942,126116,17648,0.999929,0.635964,0.240039,0.214643,0.545318,0,0,0
25,0,38.758579,31.790100,6.031798,0.936681,124115,18148,0.984063,0.653982,0.240039,0.214643,0.545318,0,0.1132075471698114,0
26,0,39.387653,32.240100,7.050031,0.097522,126115,18648,0.999921,0.672000,0.237551,0.219619,0.54283,0,0.06521739130434778,0
27,0,40.764950,32.690400,8.068608,0.005942,128115,19147,1.015778,0.689982,0.237299,0.220123,0.542578,0,0,0
28,0,38.995743,31.940400,7.049401,0.005942,126115,19647,0.999921,0.708000,0.237299,0.220123,0.542578,0,0,0
29,0,37.618642,31.190400,6.030365,0.397877,124114,20146,0.984056,0.725982,0.237299,0.220123,0.542578,0.09195402298850575,0,0.029268292682926855
30,0,38.694665,31.640400,7.048323,0.005942,126114,20646,0.999913,0.744000,0.238501,0.219512,0.541987,0,0,0
