iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
56,0,93.838644,5.633700,1.804944,86.400000,33338,14559,0.723883,0.953813,0.492192,0.507808,1.0,1.0
57,0,56.344116,9.782700,3.359436,43.201981,43505,10896,0.944644,0.713836,0.503415,0.496585,0,1.0
58,0,60.415234,12.773100,4.440153,43.201981,45584,3007,0.989786,0.196999,0.505876,0.494124,0,1.0
59,0,19.599916,12.784500,6.811455,0.003961,50260,7645,1.091318,0.500852,0.413567,0.586433,0,0
60,0,96.814661,9.436800,0.977861,86.400000,34967,3511,0.759254,0.230018,0.476996,0.523004,1.0,1.0
61,0,95.892261,6.653400,2.838861,86.400000,31295,9117,0.679522,0.597288,0.559723,0.440277,1.0,1.0
62,0,38.145834,20.481900,17.659973,0.003961,70406,2133,1.528757,0.139741,0.57582,0.42418,0,0
63,0,34.638848,18.390300,16.244587,0.003961,68571,7270,1.488913,0.476284,0.532515,0.467485,0,0
64,0,96.988562,10.564200,0.024362,86.400000,36848,1634,0.800097,0.107049,0.503587,0.496413,1.0,1.0
65,0,37.275902,19.108500,18.163441,0.003961,72334,8639,1.570621,0.565972,0.447009,0.552991,0,0
66,0,22.336478,13.463400,8.869117,0.003961,54293,9415,1.178888,0.616811,0.584393,0.415607,0,0
67,0,96.756617,10.269300,0.087317,86.400000,37068,2837,0.804874,0.185862,0.506689,0.493311,1.0,1.0
68,0,23.210363,14.064300,9.142102,0.003961,54811,7930,1.190136,0.519523,0.480862,0.519138,0,0
69,0,29.771802,15.744000,14.023841,0.003961,64374,11894,1.397782,0.779219,0.515213,0.484787,0,0
70,0,58.501602,11.517600,3.782022,43.201981,44325,5933,0.962449,0.388692,0.560488,0.439512,0,1.0
71,0,35.070150,18.284400,16.781789,0.003961,69665,8717,1.512668,0.571082,0.57841,0.42159,0,0
72,0,95.923111,8.282100,1.241011,86.400000,34449,6842,0.748007,0.448244,0.600771,0.399229,1.0,1.0
73,0,95.203865,5.727600,3.076265,86.400000,30828,11736,0.669382,0.768868,0.499601,0.500399,1.0,1.0
74,0,34.695078,19.143000,15.548117,0.003961,66809,2999,1.450654,0.196475,0.456976,0.543024,0,0
75,0,26.905519,16.197000,10.704558,0.003961,57707,3717,1.253018,0.243514,0.549326,0.450674,0,0
76,0,98.206839,7.766100,4.040739,86.400000,28885,2998,0.627193,0.196410,0.491383,0.508617,1.0,1.0
77,0,60.125209,12.402600,4.520629,43.201981,45760,4418,0.993608,0.289439,0.507104,0.492896,0,1.0
78,0,22.142030,13.681800,8.456269,0.003961,53473,7867,1.161083,0.515396,0.496816,0.503184,0,0
79,0,25.200429,14.683500,10.512968,0.003961,57490,8545,1.248306,0.559814,0.561723,0.438277,0,0
