iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
41,0,24.893508,14.726700,10.158886,0.007922,51873,2784,1.276403,0.263636,0.261709,0.15319,0.37412,0.210981,0,0,0,0
42,0,26.233441,14.304900,11.920619,0.007922,55512,7829,1.365945,0.741383,0.16354,0.354722,0.288694,0.193044,0,0,0,0
43,0,32.242414,17.396100,14.838392,0.007922,60704,2717,1.493701,0.257292,0.186954,0.341383,0.236843,0.23482,0,0,0,0
44,0,100.891469,10.740900,3.746608,86.403961,39539,3736,0.972908,0.353788,0.24874900000000003,0.25287100000000007,0.24330700000000002,0.255073,1.0,0,1.0,0
45,0,27.420464,14.407800,13.004742,0.007922,57653,9627,1.418627,0.911648,0.182007,0.209942,0.237941,0.37011,0,0,0,0
46,0,31.545598,16.185300,15.352376,0.007922,62178,8227,1.529970,0.779072,0.253047,0.208735,0.304412,0.233806,0,0,0,0
47,0,138.238759,7.416900,1.219879,129.601981,29786,5063,0.732923,0.479451,0.28036700000000003,0.30875800000000003,0.22493700000000005,0.18593800000000005,1.0,1.0,1.0,0
48,0,18.235596,11.983200,6.244474,0.007922,44415,4471,1.092889,0.423390,0.24608,0.341196,0.208998,0.203726,0,0,0,0
49,0,19.434312,11.399400,8.026990,0.007922,47947,9949,1.179798,0.942140,0.33483,0.150977,0.285777,0.228416,0,0,0,0
50,0,95.988083,7.650600,1.933521,86.403961,35998,10496,0.885778,0.993939,0.235484,0.33207,0.211861,0.220585,1.0,0,1.0,0
51,0,35.122933,18.176400,16.938611,0.007922,64976,4388,1.598819,0.415530,0.265601,0.350095,0.220338,0.163966,0,0,0,0
52,0,31.034888,16.674900,14.352066,0.007922,60052,4469,1.477657,0.423201,0.21803375000000003,0.24188475,0.29672675000000004,0.24335475,0,0,0,0
53,0,22.268587,12.891900,9.368765,0.007922,50544,7571,1.243701,0.716951,0.24732025000000005,0.14580625000000003,0.26611325,0.34076025000000004,0,0,0,0
54,0,31.459372,17.100300,14.351150,0.007922,59812,2811,1.471752,0.266193,0.232329,0.258844,0.36486,0.143967,0,0,0,0
55,0,97.731527,9.406200,1.921366,86.403961,35970,4616,0.885089,0.437121,0.317741,0.280148,0.228388,0.173723,1.0,0,1.0,0
56,0,24.364558,14.510700,9.845936,0.007922,51291,2922,1.262082,0.276705,0.279515,0.318545,0.155995,0.245945,0,0,0,0
57,0,23.396176,13.507800,9.880454,0.007922,51521,6495,1.267741,0.615057,0.354795,0.194428,0.248156,0.202621,0,0,0,0
58,0,23.249234,12.712200,10.529112,0.007922,52839,10465,1.300172,0.991004,0.19491700000000003,0.23067100000000001,0.33997900000000003,0.23443300000000003,0,0,0,0
59,0,16.432958,10.274400,6.150636,0.007922,44275,10027,1.089444,0.949527,0.36862874999999995,0.24949074999999996,0.19296474999999996,0.18891574999999997,0,0,0,0
60,0,22.888019,12.829500,10.050596,0.007922,51892,9127,1.276870,0.864299,0.28998425000000005,0.33412425,0.15605525,0.21983625,0,0,0,0
61,0,25.411593,14.551500,10.852171,0.007922,53352,4847,1.312795,0.458996,0.22385975000000002,0.16729975000000002,0.43002275,0.17881775000000003,0,0,0,0
