iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
56,0,54.460816,9.785700,1.473136,43.201981,36401,3782,0.846503,0.318565,0.468398,0.531602,1.0,0
57,0,60.617525,7.513800,3.197924,49.905801,27159,2113,0.631581,0.177982,0.461684,0.538316,1.0,0.23970037453183524
58,0,55.942492,10.458300,2.282211,43.201981,37985,3124,0.883339,0.263140,0.579551,0.420449,1.0,0
59,0,22.590967,12.929700,9.657306,0.003961,52439,9340,1.219466,0.786725,0.560941,0.439059,0,0
60,0,52.042809,8.686500,0.154328,43.201981,33808,4853,0.786203,0.408777,0.45056,0.54944,1.0,0
61,0,23.856643,13.437900,10.414782,0.003961,53914,9121,1.253767,0.768278,0.463504,0.536496,0,0
62,0,57.407306,10.526400,3.678925,43.201981,40730,5642,0.947174,0.475236,0.496283,0.503717,1.0,0
63,0,51.456176,7.443000,0.811196,43.201981,31905,7095,0.741949,0.597625,0.510858,0.489142,1.0,0
64,0,54.461904,8.423700,2.836224,43.201981,39085,11006,0.908920,0.927055,0.490777,0.509223,1.0,0
65,0,27.996502,15.330000,12.662541,0.003961,58247,7147,1.354531,0.602005,0.59026,0.40974,0,0
66,0,57.127228,10.665900,3.259348,43.201981,39903,4350,0.927942,0.366408,0.442098,0.557902,1.0,0
67,0,20.157580,12.281700,7.871919,0.003961,48942,8003,1.138144,0.674107,0.591789,0.408211,0,0
68,0,48.892284,11.698800,4.108559,33.084925,41538,2542,0.965964,0.214117,0.42805,0.57195,0.7892280071813286,0
69,0,55.313833,9.107400,3.004452,43.201981,39414,9056,0.916571,0.762803,0.457687,0.542313,1.0,0
70,0,19.502958,11.509200,7.989797,0.003961,49191,10827,1.143934,0.911978,0.4247,0.5753,0,0
71,0,18.905458,12.733200,6.168297,0.003961,45545,3101,1.059147,0.261203,0.500998,0.499002,0,0
72,0,16.551136,11.615100,4.932075,0.003961,43171,4454,1.003939,0.375168,0.49791,0.50209,0,0
73,0,50.926002,6.589200,1.134822,43.201981,31267,9303,0.727112,0.783608,0.538883,0.461117,1.0,0
74,0,52.115379,8.133900,0.779498,43.201981,35039,7926,0.814830,0.667621,0.476999,0.523001,1.0,0
75,0,20.052393,12.379500,7.668932,0.003961,48539,7274,1.128772,0.612702,0.443522,0.556478,0,0
76,0,51.176931,4.844700,3.130250,43.201981,27329,11180,0.635534,0.941712,0.495809,0.504191,1.0,0
77,0,21.212791,13.343400,7.865430,0.003961,48872,4394,1.136516,0.370115,0.453911,0.546089,0,0
78,0,56.679341,9.697800,3.779561,43.201981,40935,8609,0.951941,0.725152,0.471219,0.528781,1.0,0
79,0,50.301982,6.604200,0.495801,43.201981,32527,10513,0.756414,0.885529,0.472612,0.527388,1.0,0
80,0,19.437272,12.135300,7.298011,0.003961,47816,7365,1.111959,0.620367,0.486213,0.513787,0,0
81,0,15.530730,10.186500,5.340269,0.003961,43999,10044,1.023194,0.846024,0.424804,0.575196,0,0
82,0,29.220160,15.268500,13.947698,0.003961,60804,9909,1.413994,0.834653,0.567016,0.432984,0,0
83,0,32.200984,16.167600,16.029423,0.003961,64871,10979,1.508572,0.924781,0.435576,0.564424,0,0
84,0,22.940693,13.632900,9.303832,0.003961,51708,6265,1.202467,0.527712,0.595169,0.404831,0,0
85,0,26.876530,15.909000,10.963569,0.003961,54227,1197,1.261046,0.100825,0.434559,0.565441,0,0
86,0,32.253510,17.038800,15.210749,0.003961,63141,6345,1.468341,0.534451,0.50801,0.49199,0,0
87,0,52.349265,7.042800,2.104484,43.201981,29351,5875,0.682556,0.494862,0.498797,0.501203,1.0,0
88,0,51.385530,8.011500,0.172050,43.201981,33165,6460,0.771250,0.544137,0.519883,0.480117,1.0,0
89,0,34.316140,17.285400,17.026779,0.003961,66761,9143,1.552524,0.770131,0.480595,0.519405,0,0
