iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14,weight15,weight16,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16
12,0,63.229436,45.906900,17.290847,0.031689,164053,11030,1.040450,0.241175,0.0710909375,0.10366193750000001,0.08188893750000001,0.12201993750000001,0.1206409375,0.07879493750000001,0.009603937500000005,0.0728189375,0.010601937500000005,0.012617937500000006,0.0866829375,0.011197937500000005,0.018573937500000005,0.0461499375,0.05652893750000001,0.09712593750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,68.756601,43.137300,25.587612,0.031689,180482,36691,1.144646,0.802263,0.0710909375,0.10366193750000001,0.08188893750000001,0.12201993750000001,0.1206409375,0.07879493750000001,0.009603937500000005,0.0728189375,0.010601937500000005,0.012617937500000006,0.0866829375,0.011197937500000005,0.018573937500000005,0.0461499375,0.05652893750000001,0.09712593750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,198.006393,38.760300,6.448022,152.798071,142910,13709,0.906358,0.299753,0.0710909375,0.10366193750000001,0.08188893750000001,0.12201993750000001,0.1206409375,0.07879493750000001,0.009603937500000005,0.0728189375,0.010601937500000005,0.012617937500000006,0.0866829375,0.011197937500000005,0.018573937500000005,0.0461499375,0.05652893750000001,0.09712593750000001,0,0,0,0,0.10071942446043158,0.7449483610237988,0.9736842105263158,0.10842207163601159,1.0,0.8041237113402062,0,0,0.1293103448275862,0,0,0
15,0,112.608841,33.798900,12.983705,65.826237,155778,43115,0.987969,0.942726,0.0689900625,0.10099206250000001,0.0794170625,0.11959306250000001,0.12067206250000001,0.0909900625,0.010321062500000002,0.07183106250000001,0.010602062500000002,0.016351062500000003,0.08496106249999999,0.011198062500000001,0.020608062500000003,0.0442110625,0.0545900625,0.09467206250000001,0.10098119378577264,0.05958471260908815,0.009456264775413725,0,0.11465451784358383,0.45015787099684257,0,0.16205910390848433,1.0,0,0,0,0,0,0,0.12009106431417182
16,0,125.456335,64.873800,60.550847,0.031689,248495,32249,1.575995,0.705137,0.069066125,0.10051312500000001,0.07897512500000001,0.119159125,0.120481125,0.09133412499999999,0.010321124999999997,0.07301612499999999,0.012872124999999996,0.015874124999999996,0.084651125,0.010796124999999997,0.020252124999999996,0.043863124999999996,0.054242124999999995,0.09458312499999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,113.824145,59.272200,54.520256,0.031689,236959,39385,1.502832,0.861168,0.069066125,0.10051312500000001,0.07897512500000001,0.119159125,0.120481125,0.09133412499999999,0.010321124999999997,0.07301612499999999,0.012872124999999996,0.015874124999999996,0.084651125,0.010796124999999997,0.020252124999999996,0.043863124999999996,0.054242124999999995,0.09458312499999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,97.639150,43.750800,12.249876,41.638474,154205,8369,0.977993,0.182991,0.069066125,0.10051312500000001,0.07897512500000001,0.119159125,0.120481125,0.09133412499999999,0.010321124999999997,0.07301612499999999,0.012872124999999996,0.015874124999999996,0.084651125,0.010796124999999997,0.020252124999999996,0.043863124999999996,0.054242124999999995,0.09458312499999999,0,0,0,0,0,0.07866609662248825,0.09090909090909083,0,0.9552238805970149,0,0,0,0,0,0,0
19,0,85.468959,51.029100,34.408170,0.031689,197631,27534,1.253407,0.602042,0.0688090625,0.10022206250000001,0.07869606250000001,0.11888306250000001,0.12027306250000001,0.09160206250000001,0.010296062500000008,0.0727520625,0.01601706250000001,0.015583062500000008,0.08441706250000001,0.01053106250000001,0.020002062500000008,0.04361606250000001,0.05399506250000001,0.09430506250000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,146.341262,41.333400,10.891682,94.116180,151614,13836,0.961560,0.302530,0.0688090625,0.10022206250000001,0.07869606250000001,0.11888306250000001,0.12027306250000001,0.09160206250000001,0.010296062500000008,0.0727520625,0.01601706250000001,0.015583062500000008,0.08441706250000001,0.01053106250000001,0.020002062500000008,0.04361606250000001,0.05399506250000001,0.09430506250000001,0.0004180602006689238,0,0,0,0.029796511627906974,0.2131868131868132,0.9772727272727273,0.16931711880261924,1.0,0,0,0,0,0,0,0
21,0,60.582296,40.448400,14.491013,5.642884,158703,23875,1.006520,0.522036,0.067539875,0.098640875,0.077223875,0.117435875,0.119462875,0.095212875,0.015461874999999996,0.075161875,0.019081874999999995,0.014001874999999997,0.083354875,0.010530874999999997,0.018796874999999998,0.042435875,0.052814875,0.09284287499999999,0,0,0,0,0.011404133998574428,0.12265758091993184,0,0.08223972003499558,0.185483870967742,0,0,0,0,0,0,0
22,0,400.054250,36.141900,3.465916,360.446434,137056,16583,0.869231,0.362594,0.06736687499999999,0.09840587499999999,0.07701087499999999,0.117227875,0.119378875,0.09622887499999999,0.015237874999999996,0.075411875,0.020189874999999996,0.013766874999999996,0.083222875,0.010341874999999997,0.018636874999999997,0.042280874999999996,0.052659874999999995,0.092631875,0.5468066491688539,0.6995475113122172,0.017114914425428007,0,1.0,1.0,0.9886363636363636,1.0,1.0,0.7088607594936709,0,0,0.19827586206896552,0.435374149659864,0.12878787878787878,1.0
23,0,56.649883,38.033100,18.584990,0.031793,166770,39993,1.057682,0.874463,0.07187306250000003,0.10747006250000002,0.06598806250000003,0.10650006250000002,0.1345750625,0.10061006250000001,0.010919062500000016,0.08088006250000002,0.011589062500000016,0.013767062500000015,0.0771480625,0.010342062500000016,0.016377062500000015,0.03899606250000002,0.04668406250000002,0.10628106250000002,0,0,0,0,0,0.0008587376556461468,0,0,0,0,0,0,0,0,0,0
24,0,80.346160,51.240000,29.074471,0.031689,187042,16242,1.186250,0.355138,0.0718329375,0.1074029375,0.06592993750000001,0.1064439375,0.1345729375,0.10130493750000001,0.010855937500000004,0.08083393750000001,0.011522937500000005,0.013699937500000006,0.0771249375,0.010294937500000005,0.016341937500000004,0.0389629375,0.0466509375,0.1062239375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,347.129473,34.544700,4.165973,308.418800,138435,23286,0.877977,0.509157,0.0718329375,0.1074029375,0.06592993750000001,0.1064439375,0.1345729375,0.10130493750000001,0.010855937500000004,0.08083393750000001,0.011522937500000005,0.013699937500000006,0.0771249375,0.010294937500000005,0.016341937500000004,0.0389629375,0.0466509375,0.1062239375,0.052156057494866515,0,0,0,0.9169960474308301,1.0,0.962962962962963,0.6186440677966102,1.0,0.7741935483870968,0,0,0.1367521367521367,0.8666666666666667,1.0,0.1452393760086068
26,0,546.011809,34.239300,1.644293,510.128216,126993,12862,0.805410,0.281233,0.055133062499999996,0.08489106249999999,0.045375062499999994,0.08633406249999999,0.1589520625,0.1136480625,0.010856062499999994,0.0948670625,0.011523062499999995,0.014923062499999995,0.0639560625,0.010295062499999995,0.012896062499999994,0.057074062499999995,0.08564006249999999,0.09363606249999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,0.7659574468085106,0.5610749185667752,0,0.34959349593495925,0.3631578947368421,0,1.0
27,0,73.640375,50.247600,23.361086,0.031689,175655,8163,1.114032,0.178487,0.056234937500000005,0.09442193750000001,0.0427929375,0.1164889375,0.1651299375,0.1064699375,0.010855937500000004,0.0878069375,0.011522937500000005,0.014922937500000006,0.0641169375,0.010294937500000005,0.012895937500000005,0.043785937500000004,0.0691019375,0.09315693750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,66.163717,45.412200,20.719829,0.031689,170854,19480,1.083583,0.425938,0.056234937500000005,0.09442193750000001,0.0427929375,0.1164889375,0.1651299375,0.1064699375,0.010855937500000004,0.0878069375,0.011522937500000005,0.014922937500000006,0.0641169375,0.010294937500000005,0.012895937500000005,0.043785937500000004,0.0691019375,0.09315693750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,90.045439,51.263700,38.750050,0.031689,206189,35310,1.307684,0.772067,0.056234937500000005,0.09442193750000001,0.0427929375,0.1164889375,0.1651299375,0.1064699375,0.010855937500000004,0.0878069375,0.011522937500000005,0.014922937500000006,0.0641169375,0.010294937500000005,0.012895937500000005,0.043785937500000004,0.0691019375,0.09315693750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,88.643706,51.189900,37.422117,0.031689,203573,32940,1.291092,0.720246,0.056234937500000005,0.09442193750000001,0.0427929375,0.1164889375,0.1651299375,0.1064699375,0.010855937500000004,0.0878069375,0.011522937500000005,0.014922937500000006,0.0641169375,0.010294937500000005,0.012895937500000005,0.043785937500000004,0.0691019375,0.09315693750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,100.248830,36.431400,11.835636,51.981794,153512,32074,0.973598,0.701311,0.056234937500000005,0.09442193750000001,0.0427929375,0.1164889375,0.1651299375,0.1064699375,0.010855937500000004,0.0878069375,0.011522937500000005,0.014922937500000006,0.0641169375,0.010294937500000005,0.012895937500000005,0.043785937500000004,0.0691019375,0.09315693750000001,0.00041788549937316066,0,0.1335012594458439,0,0.007623007623007605,0.24578414839797647,0,0.12420091324200921,0.9733333333333334,0,0,0,0,0,0,0.0038126361655772545
32,0,193.067082,36.012000,9.127739,147.927342,148190,28150,0.939845,0.615511,0.055691999999999985,0.09374499999999998,0.045847999999999986,0.11586899999999999,0.16477799999999998,0.10648699999999998,0.010201999999999985,0.08845099999999999,0.013934999999999986,0.014245999999999986,0.06366299999999998,0.010294999999999986,0.012379999999999987,0.043280999999999986,0.06859699999999999,0.09253099999999999,0.4103110353642949,0.026978950489178866,0.4444444444444444,0,0.1698389458272328,0.468403074295474,0.9891304347826086,0.2530922930542341,1.0,0,0,0,0,0,0,0.1447513812154696
