Iteration,Pbar_kw_per_server,R_kw_per_server,Weight_0,Weight_1,Weight_2,Weight_3,Predicted_M_RSR,Predicted_C_track,Predicted_C_Qos,Predicted_C_total
0,0.5034888982772827,0.233395054936409,0.25,0.25,0.25,0.25,25.973146438598633,2.730248212814331,1.0561813116073608,29.75957489013672
1,0.41278210282325745,0.3541392683982849,0.25000226497650146,0.2500043511390686,0.24999994039535522,0.24999339878559113,6.93853759765625,2.2991418838500977,1.251341700553894,10.489021301269531
2,0.34082290530204773,0.34082189202308655,0.2500109374523163,0.25001394748687744,0.25000569224357605,0.249969482421875,3.0536158084869385,2.036996364593506,1.4204787015914917,6.511091232299805
3,0.2705352008342743,0.2705341875553131,0.2500201463699341,0.2500239908695221,0.25001204013824463,0.249943807721138,4.463588237762451,1.5152156352996826,1.5498682260513306,7.528671741485596
4,0.19845566153526306,0.19845466315746307,0.25002923607826233,0.2500338554382324,0.25001803040504456,0.2499188780784607,5.957535266876221,1.015183448791504,1.6866260766983032,8.659344673156738
5,0.17910000681877136,0.17909900844097137,0.2500383257865906,0.2500435709953308,0.2500237822532654,0.24989432096481323,6.368724822998047,0.8868218660354614,1.7242052555084229,8.979751586914062
6,0.17910000681877136,0.17909900844097137,0.25004738569259644,0.2500532567501068,0.25002944469451904,0.2498699277639389,6.3686909675598145,0.8868268132209778,1.7242182493209839,8.979736328125
7,0.17910000681877136,0.17909900844097137,0.2500564455986023,0.2500629425048828,0.2500351071357727,0.24984551966190338,6.368651390075684,0.8868507146835327,1.7242273092269897,8.979729652404785
8,0.17910000681877136,0.17909900844097137,0.25006550550460815,0.2500725984573364,0.250040739774704,0.24982109665870667,6.368618011474609,0.8868533968925476,1.7242375612258911,8.979708671569824
9,0.17910000681877136,0.17909900844097137,0.250074565410614,0.2500822842121124,0.25004640221595764,0.24979671835899353,6.368587017059326,0.8868658542633057,1.7242480516433716,8.979701042175293
10,0.17910000681877136,0.17909900844097137,0.2500836253166199,0.2500919699668884,0.2500520348548889,0.2497723251581192,6.368559837341309,0.886867105960846,1.7242580652236938,8.979684829711914
11,0.17910000681877136,0.17909900844097137,0.25009268522262573,0.25010165572166443,0.2500576972961426,0.24974794685840607,6.368518352508545,0.8868776559829712,1.7242680788040161,8.979663848876953
12,0.17910000681877136,0.17909900844097137,0.2501017451286316,0.25011134147644043,0.25006335973739624,0.24972355365753174,6.368483066558838,0.8868767619132996,1.7242779731750488,8.979637145996094
13,0.17910000681877136,0.17909900844097137,0.25011080503463745,0.25012102723121643,0.2500689923763275,0.2496991604566574,6.368439197540283,0.8868969082832336,1.7242891788482666,8.979625701904297
14,0.17910000681877136,0.17909900844097137,0.2501198351383209,0.25013071298599243,0.2500746548175812,0.24967478215694427,6.368411064147949,0.8868981003761292,1.7243013381958008,8.979610443115234
15,0.17910000681877136,0.17909900844097137,0.250128835439682,0.25014039874076843,0.25008028745651245,0.24965038895606995,6.368379592895508,0.8869163990020752,1.724307656288147,8.97960376739502
16,0.17910000681877136,0.17909900844097137,0.25013789534568787,0.2501501142978668,0.2500859498977661,0.249626025557518,6.368337631225586,0.8869155645370483,1.7243191003799438,8.979572296142578
17,0.17910000681877136,0.17909900844097137,0.25014692544937134,0.2501598298549652,0.2500916123390198,0.24960163235664368,6.368296146392822,0.886931300163269,1.7243309020996094,8.979558944702148
18,0.17910000681877136,0.17909900844097137,0.2501559257507324,0.2501695156097412,0.25009721517562866,0.24957726895809174,6.368256568908691,0.886949896812439,1.7243417501449585,8.979548454284668
19,0.17910000681877136,0.17909900844097137,0.2501649856567383,0.2501792311668396,0.2501028776168823,0.24955293536186218,6.368226528167725,0.8869511485099792,1.7243505716323853,8.979528427124023
20,0.17910000681877136,0.17909900844097137,0.25017398595809937,0.2501888871192932,0.2501085102558136,0.24952855706214905,6.368196964263916,0.8869693279266357,1.7243640422821045,8.979530334472656
21,0.17910000681877136,0.17909900844097137,0.25018298625946045,0.2501986026763916,0.25011417269706726,0.2495042234659195,6.368163585662842,0.8869705200195312,1.7243751287460327,8.979509353637695
22,0.17910000681877136,0.17909900844097137,0.25019195675849915,0.2502082884311676,0.25011977553367615,0.24947986006736755,6.368125915527344,0.8869901895523071,1.7243856191635132,8.979501724243164
23,0.17910000681877136,0.17909900844097137,0.25020095705986023,0.250218003988266,0.2501254379749298,0.249455526471138,6.368092060089111,0.8869839906692505,1.7243925333023071,8.97946834564209
24,0.17910000681877136,0.17909900844097137,0.2502099871635437,0.2502277195453644,0.25013110041618347,0.24943119287490845,6.3680596351623535,0.8870000243186951,1.724403738975525,8.979463577270508
25,0.17910000681877136,0.17909900844097137,0.2502189576625824,0.2502374053001404,0.25013673305511475,0.2494068443775177,6.3680315017700195,0.8870145082473755,1.7244179248809814,8.979463577270508
26,0.17910000681877136,0.17909900844097137,0.25022798776626587,0.2502470910549164,0.2501423954963684,0.24938251078128815,6.367995262145996,0.8870233297348022,1.7244231700897217,8.97944164276123
27,0.17910000681877136,0.17909900844097137,0.25023695826530457,0.2502567768096924,0.2501479983329773,0.2493581771850586,6.367958068847656,0.8870283961296082,1.7244340181350708,8.97942066192627
28,0.17910000681877136,0.17909900844097137,0.25024598836898804,0.25026649236679077,0.25015366077423096,0.24933384358882904,6.367915630340576,0.8870291709899902,1.7244454622268677,8.979390144348145
