Iteration,Pbar_kw_per_server,R_kw_per_server,Weight_0,Weight_1,Weight_2,Weight_3,Predicted_M_RSR,Predicted_C_track,Predicted_C_Qos,Predicted_C_total,Optimization_Objective
0,0.5034888982772827,0.233395054936409,0.25,0.25,0.25,0.25,25.973146438598633,2.730248212814331,1.0561813116073608,29.75957489013672,45.21575927734375
1,0.4061976969242096,0.309914231300354,0.24998927116394043,0.24999409914016724,0.2499893456697464,0.25002729892730713,10.590287208557129,2.11830997467041,1.2457561492919922,13.954353332519531,32.81413269042969
2,0.3301858901977539,0.3301848769187927,0.24998603761196136,0.24999430775642395,0.249985471367836,0.2500341534614563,3.264406681060791,1.9552278518676758,1.4398704767227173,6.6595048904418945,26.563846588134766
3,0.2594791352748871,0.2594781219959259,0.24998439848423004,0.24999603629112244,0.24998332560062408,0.25003623962402344,4.689459800720215,1.4363688230514526,1.570492148399353,7.6963210105896,23.67708969116211
4,0.18634822964668274,0.18634723126888275,0.24998216331005096,0.2499970942735672,0.24998044967651367,0.25004029273986816,6.214381217956543,0.9345347285270691,1.7100286483764648,8.858943939208984,20.82086944580078
5,0.17910000681877136,0.17909900844097137,0.24997951090335846,0.24999767541885376,0.24997690320014954,0.25004592537879944,6.368945598602295,0.8867617845535278,1.7241401672363281,8.979846954345703,20.545700073242188
6,0.17910000681877136,0.17909900844097137,0.24997679889202118,0.24999821186065674,0.24997331202030182,0.25005167722702026,6.3689494132995605,0.8867672681808472,1.7241383790969849,8.97985553741455,20.545711517333984
7,0.17910000681877136,0.17909900844097137,0.2499740719795227,0.2499987632036209,0.2499697059392929,0.2500574588775635,6.368963718414307,0.8867630958557129,1.7241383790969849,8.979865074157715,20.545717239379883
8,0.17910000681877136,0.17909900844097137,0.24997137486934662,0.2499992996454239,0.24996612966060638,0.2500632107257843,6.368965148925781,0.886762797832489,1.7241307497024536,8.9798583984375,20.54570198059082
9,0.17910000681877136,0.17909900844097137,0.24996867775917053,0.24999982118606567,0.24996252357959747,0.2500689923763275,6.36898136138916,0.8867647051811218,1.7241281270980835,8.979873657226562,20.545717239379883
10,0.17910000681877136,0.17909900844097137,0.24996595084667206,0.25000035762786865,0.24995891749858856,0.25007474422454834,6.36899471282959,0.8867586255073547,1.7241277694702148,8.979881286621094,20.545719146728516
11,0.17910000681877136,0.17909900844097137,0.24996323883533478,0.25000086426734924,0.24995534121990204,0.25008052587509155,6.368992805480957,0.8867643475532532,1.7241246700286865,8.97988224029541,20.54572105407715
12,0.17910000681877136,0.17909900844097137,0.2499605268239975,0.2500014007091522,0.24995173513889313,0.2500862777233124,6.3689985275268555,0.8867543339729309,1.7241240739822388,8.979877471923828,20.545705795288086
13,0.17910000681877136,0.17909900844097137,0.2499578297138214,0.2500019371509552,0.2499481439590454,0.2500920593738556,6.369008541107178,0.8867502808570862,1.72412109375,8.979879379272461,20.54570198059082
14,0.17910000681877136,0.17909900844097137,0.24995510280132294,0.2500024735927582,0.2499445527791977,0.2500978112220764,6.369021892547607,0.8867576122283936,1.7241179943084717,8.979897499084473,20.54572296142578
15,0.17910000681877136,0.17909900844097137,0.24995240569114685,0.25000301003456116,0.2499409317970276,0.25010359287261963,6.369029521942139,0.8867422938346863,1.7241156101226807,8.979887008666992,20.545696258544922
16,0.17910000681877136,0.17909900844097137,0.24994967877864838,0.25000354647636414,0.24993735551834106,0.25010934472084045,6.3690361976623535,0.8867437839508057,1.724112868309021,8.97989273071289,20.545700073242188
17,0.17910000681877136,0.17909900844097137,0.2499469816684723,0.2500040829181671,0.24993374943733215,0.25011512637138367,6.369050025939941,0.8867436647415161,1.724112868309021,8.97990608215332,20.545713424682617
