iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,115.909309,0.220700,1.310231,114.378378,3872,1665,0.899837,0.900000,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.756578947368421,0.8409090909090909,0.924812030075188,0,0.26041666666666674,0
1,53.018721,0.341100,6.088269,46.589352,3875,464,0.900535,0.250811,0.11339,0.11339,0.142527,0.131581,0.147858,0.11339,0.124474,0.11339,0,0,0.1568627450980392,0.37142857142857144,0.7415730337078652,0,0,0
2,94.548646,0.343700,6.468464,87.736482,3877,440,0.900999,0.237838,0.11005875,0.11005875,0.14279775,0.13254875,0.16311575,0.11005875,0.12130274999999999,0.11005875,0,0,0.6385542168674698,0.4838709677419355,0.8648648648648649,0,0.2403846153846153,0
3,34.390065,0.345500,6.752637,27.291928,3879,424,0.901464,0.229189,0.10380700000000001,0.10380700000000001,0.151825,0.131955,0.180261,0.10380700000000001,0.12073100000000002,0.10380700000000001,0,0,0.0,0.5116279069767442,0.25670498084291193,0,0,0
4,21.907417,0.347500,7.096567,14.463350,3881,406,0.901929,0.219459,0.10214274999999999,0.10214274999999999,0.15016074999999998,0.13630675,0.18580775,0.10214274999999999,0.11915374999999999,0.10214274999999999,0,0,0,0.3513513513513513,0.14885496183206115,0,0,0
5,42.271989,0.348600,7.282284,34.641105,3884,398,0.902626,0.215135,0.10110087499999998,0.10110087499999998,0.14911887499999998,0.139470875,0.188839875,0.10110087499999998,0.11816687499999998,0.10110087499999998,0,0,0,0.4117647058823529,0.5096774193548388,0,0,0
6,46.942682,0.349300,7.403631,39.189751,3886,393,0.903091,0.212432,0.09864925,0.09864925,0.14666724999999997,0.14201225,0.20086424999999997,0.09864925,0.11585925,0.09864925,0,0,0,0.7,0.316205533596838,0,0,0
7,69.728534,0.351100,7.752829,61.624606,3889,378,0.903788,0.204324,0.09637587500000001,0.09637587500000001,0.144393875,0.148340875,0.20804587500000002,0.09637587500000001,0.11371587500000001,0.09637587500000001,0,0,0.2348993288590604,0.5714285714285714,0.6689895470383276,0,0.20833333333333337,0
8,13.328576,0.351900,7.920830,5.055846,3890,371,0.904020,0.200541,0.09159825000000002,0.09159825000000002,0.14540725000000004,0.15075025000000003,0.22361625000000002,0.09159825000000002,0.11383325000000002,0.09159825000000002,0,0,0.007299270072992692,0,0.09426229508196715,0,0.196078431372549,0
9,19.782348,0.353600,8.314047,11.114701,3891,355,0.904253,0.191892,0.09088225000000001,0.09088225000000001,0.14469225,0.15003425,0.22422425,0.09088225000000001,0.11752025,0.09088225000000001,0,0,0.07262569832402233,0.09375,0.1215686274509804,0,0.2941176470588236,0
10,73.459452,0.353900,8.376493,64.729059,3892,353,0.904485,0.190811,0.08954575,0.08954575,0.14364875,0.14918375,0.22604875,0.08954575,0.12293575,0.08954575,0,0,0.3623188405797101,0.5714285714285714,0.7142857142857143,0,0.034482758620689724,0
11,14.159931,0.354500,8.503573,5.301858,3894,349,0.904950,0.188649,0.08464324999999999,0.08464324999999999,0.14775224999999997,0.15155124999999997,0.24376025,0.08464324999999999,0.11836324999999999,0.08464324999999999,0,0,0,0.08108108108108103,0.2055335968379447,0,0,0
