iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
10,46.534375,1.782700,4.832212,39.919463,25915,8088,0.948572,0.546486,0.07920512500000002,0.07920512500000002,0.20160612500000002,0.12342512500000002,0.22160912500000002,0.07920512500000002,0.136539125,0.07920512500000002,0,0,0,0,0.9313666465984347,0,0,0
11,37.209704,1.806400,5.137192,30.266112,25995,7931,0.951501,0.535878,0.07824725000000002,0.07824725000000002,0.20064825000000003,0.12246725000000003,0.22824325,0.07824725000000002,0.13565225000000003,0.07824725000000002,0,0,0,0,0.7302551640340219,0,0,0
12,39.813859,1.826400,5.404270,32.583189,26060,7796,0.953880,0.526757,0.077545375,0.077545375,0.199946375,0.121765375,0.233102375,0.077545375,0.135004375,0.077545375,0,0,0,0,0.7785276073619631,0,0,0
13,61.378340,1.849000,5.718949,53.810391,26132,7642,0.956515,0.516351,0.076823125,0.076823125,0.19922412500000003,0.121043125,0.238102125,0.076823125,0.13433812500000003,0.076823125,0,0,0,0.4031620553359684,0.9176401869158879,0,0,0
14,40.982674,1.879500,6.181308,32.921866,26239,7444,0.960432,0.502973,0.074384,0.074384,0.196785,0.13099,0.242657,0.074384,0.132032,0.074384,0,0,0,0,0.7855833842394624,0,0,0
15,46.530977,1.905800,6.591372,38.033805,26319,7261,0.963360,0.490608,0.073651,0.073651,0.196052,0.130257,0.247729,0.073651,0.131358,0.073651,0,0,0,0,0.8920821114369502,0,0,0
16,27.448952,1.921800,6.851271,18.675881,26366,7148,0.965081,0.482973,0.07280887500000001,0.07280887500000001,0.195209875,0.129414875,0.25355487499999996,0.07280887500000001,0.13058487500000002,0.07280887500000001,0,0,0,0,0.48879202988792025,0,0,0
17,41.811174,1.940500,7.166522,32.704152,26420,7015,0.967057,0.473986,0.07237374999999999,0.07237374999999999,0.19477475,0.12897975,0.25656475,0.07237374999999999,0.13018575,0.07237374999999999,0,0,0,0,0.7810476751030018,0,0,0
18,44.514934,1.956200,7.441827,35.116908,26465,6903,0.968704,0.466419,0.07165224999999997,0.07165224999999997,0.19405324999999998,0.12825825,0.26155324999999996,0.07165224999999997,0.12952624999999998,0.07165224999999997,0,0,0.0010695187165775666,0,0.8313106796116505,0,0,0
19,45.659260,1.973800,7.761315,35.924144,26514,6776,0.970498,0.457838,0.07090687500000001,0.07090687500000001,0.19330787500000002,0.127512875,0.266706875,0.07090687500000001,0.128844875,0.07090687500000001,0,0,0,0,0.8481308411214954,0,0,0
20,38.311603,1.992900,8.122548,28.196154,26566,6637,0.972401,0.448446,0.07015812499999999,0.07015812499999999,0.192559125,0.12676412499999998,0.271882125,0.07015812499999999,0.128162125,0.07015812499999999,0,0,0,0,0.6871310507674144,0,0,0
21,34.572036,2.009300,8.445954,24.116782,26610,6517,0.974012,0.440338,0.06955037500000001,0.06955037500000001,0.19195137500000004,0.126156375,0.276081375,0.06955037500000001,0.12760937500000002,0.06955037500000001,0,0,0,0,0.6021441334127456,0,0,0
22,31.231853,2.024500,8.756990,20.450363,26650,6405,0.975476,0.432770,0.06901012499999999,0.06901012499999999,0.191411125,0.125616125,0.279814125,0.06901012499999999,0.127118125,0.06901012499999999,0,0,0,0,0.5257603972687772,0,0,0
23,18.664547,2.038400,9.051584,7.574563,26686,6302,0.976794,0.425811,0.068527,0.068527,0.190928,0.125133,0.283151,0.068527,0.12668,0.068527,0,0,0,0,0.2575132586918091,0,0,0
24,40.703059,2.052600,9.362874,29.287586,26722,6196,0.978111,0.418649,0.068040125,0.068040125,0.190441125,0.12464612500000001,0.28651312500000004,0.068040125,0.126239125,0.068040125,0,0,0,0,0.7098692033293699,0,0,0
25,18.155570,2.073200,9.835684,6.246686,26774,6042,0.980015,0.408243,0.06665,0.06665,0.189051,0.123256,0.296112,0.06665,0.124981,0.06665,0,0,0,0,0.22984356197352585,0,0,0
26,20.282361,2.087700,10.182807,8.011854,26809,5932,0.981296,0.400811,0.06622637499999999,0.06622637499999999,0.18862737499999999,0.122832375,0.299035375,0.06622637499999999,0.124599375,0.06622637499999999,0,0,0,0,0.266624040920716,0,0,0
27,27.969869,2.105300,10.624023,15.240547,26852,5799,0.982870,0.391824,0.065701875,0.065701875,0.188102875,0.12230787500000001,0.302654875,0.065701875,0.12412687500000001,0.065701875,0,0,0,0,0.41722255912674344,0,0,0
28,26.362472,2.119900,11.006292,13.236280,26887,5688,0.984151,0.384324,0.06481225,0.06481225,0.18721325,0.12141825,0.30879325,0.06481225,0.12332625000000001,0.06481225,0,0,0,0,0.37546699875467004,0,0,0
29,13.531057,2.133700,11.381513,0.015844,26919,5582,0.985322,0.377162,0.06401287500000001,0.06401287500000001,0.186413875,0.12061887500000001,0.314307875,0.06401287500000001,0.122607875,0.06401287500000001,0,0,0,0,0,0,0,0
30,15.581823,2.114600,10.770247,2.696976,26791,5645,0.980637,0.381419,0.06401287500000001,0.06401287500000001,0.186413875,0.12061887500000001,0.314307875,0.06401287500000001,0.122607875,0.06401287500000001,0,0,0,0,0.15530527563722596,0,0,0
31,24.546773,2.137400,11.392069,11.017304,26844,5470,0.982577,0.369595,0.06342512500000001,0.06342512500000001,0.185826125,0.12003112500000002,0.318361125,0.06342512500000001,0.12208112500000001,0.06342512500000001,0,0,0,0,0.3292383292383293,0,0,0
32,26.521157,2.150800,11.777678,12.592679,26875,5367,0.983712,0.362635,0.06192775000000002,0.06192775000000002,0.18432875,0.11853375000000002,0.32868575,0.06192775000000002,0.12074075000000002,0.06192775000000002,0,0,0,0,0.3620586475164572,0,0,0
33,18.799049,2.166600,12.251535,4.380914,26910,5244,0.984993,0.354324,0.060420874999999985,0.060420874999999985,0.182821875,0.11702687499999999,0.339070875,0.060420874999999985,0.11939687499999999,0.060420874999999985,0,0,0,0,0.19090909090909092,0,0,0
34,16.645087,2.184600,12.820053,1.640434,26949,5103,0.986420,0.344797,0.059672,0.059672,0.182073,0.116278,0.344229,0.059672,0.118732,0.059672,0,0,0,0,0.13154831199068684,0,0,0
35,20.769050,2.196100,13.200086,5.372864,26973,5012,0.987299,0.338649,0.059168125000000016,0.059168125000000016,0.18156912500000003,0.11577412500000002,0.347699125,0.059168125000000016,0.11828512500000002,0.059168125000000016,0,0,0,0,0.2116252821670429,0,0,0
36,17.036163,2.218300,13.976798,0.841065,27020,4837,0.989019,0.326824,0.05816712500000001,0.05816712500000001,0.18056812500000002,0.114773125,0.354591125,0.05816712500000001,0.11739912500000001,0.05816712500000001,0,0,0,0,0.1099099099099099,0,0,0
37,17.215330,2.234400,14.577101,0.403829,27053,4709,0.990227,0.318176,0.05778174999999999,0.05778174999999999,0.18018275,0.11438775,0.35724374999999997,0.05778174999999999,0.11705874999999999,0.05778174999999999,0,0,0,0,0.09225092250922506,0,0,0
38,17.528094,2.251400,15.249129,0.027566,27088,4574,0.991508,0.309054,0.05733325000000001,0.05733325000000001,0.17973425,0.11393925,0.36033024999999996,0.05733325000000001,0.11666325000000001,0.05733325000000001,0,0,0,0,0.032358431860609826,0,0,0
39,18.180782,2.266700,15.883230,0.030852,27108,4441,0.992240,0.300068,0.05682174999999999,0.05682174999999999,0.17922275,0.11342775,0.36385075,0.05682174999999999,0.11621174999999999,0.05682174999999999,0,0,0,0,0.03597560975609759,0,0,0
40,18.693418,2.278300,16.391883,0.023235,27126,4343,0.992899,0.293446,0.056021125000000005,0.056021125000000005,0.178422125,0.11262712500000001,0.369359125,0.056021125000000005,0.115507125,0.056021125000000005,0,0,0,0,0.02598187311178246,0,0,0
41,19.477165,2.295100,17.166221,0.015844,27138,4187,0.993338,0.282905,0.05568187500000001,0.05568187500000001,0.178082875,0.11228787500000001,0.37169287500000003,0.05568187500000001,0.11520887500000002,0.05568187500000001,0,0,0,0,0,0,0,0
42,20.042674,2.275800,16.220853,1.546022,27009,4251,0.988616,0.287230,0.05568187500000001,0.05568187500000001,0.178082875,0.11228787500000001,0.37169287500000003,0.05568187500000001,0.11520887500000002,0.05568187500000001,0,0,0,0,0.12926391382405744,0,0,0
43,19.299032,2.291600,16.962826,0.044606,27041,4125,0.989788,0.278716,0.05359625000000002,0.05359625000000002,0.17599725,0.11020225000000002,0.38603625,0.05359625000000002,0.11337925000000001,0.05359625000000002,0,0,0,0,0.04600484261501203,0,0,0
44,23.777313,2.308400,17.804035,3.664878,27071,3987,0.990886,0.269392,0.053071749999999994,0.053071749999999994,0.17547274999999998,0.10967774999999999,0.38964175,0.053071749999999994,0.11292074999999999,0.053071749999999994,0,0,0,0,0.17588817705299942,0,0,0
45,20.913509,2.322800,18.574193,0.016517,27099,3871,0.991911,0.261554,0.05117575000000002,0.05117575000000002,0.17357675000000003,0.10778175000000002,0.40267075,0.05117575000000002,0.11126775000000003,0.05117575000000002,0,0,0,0,0.004878048780487809,0,0,0
46,20.186829,2.309600,17.850395,0.026834,26982,3886,0.987628,0.262568,0.05080775000000002,0.05080775000000002,0.17320875000000002,0.10741375000000002,0.40519775,0.05080775000000002,0.11094875000000003,0.05080775000000002,0,0,0,0,0.03143534994068797,0,0,0
47,20.756851,2.320100,18.420907,0.015844,26996,3795,0.988141,0.256419,0.048088374999999996,0.048088374999999996,0.170489375,0.10469437499999999,0.423870375,0.048088374999999996,0.10859237499999999,0.048088374999999996,0,0,0,0,0,0,0,0
48,19.691735,2.300900,17.374991,0.015844,26867,3858,0.983419,0.260676,0.048088374999999996,0.048088374999999996,0.170489375,0.10469437499999999,0.423870375,0.048088374999999996,0.10859237499999999,0.048088374999999996,0,0,0,0,0,0,0,0
49,18.686392,2.281700,16.378188,0.026504,26739,3922,0.978734,0.265000,0.048088374999999996,0.048088374999999996,0.170489375,0.10469437499999999,0.423870375,0.048088374999999996,0.10859237499999999,0.048088374999999996,0,0,0,0,0.031003039513677777,0,0,0
50,19.429531,2.292200,16.903046,0.234285,26752,3830,0.979209,0.258784,0.04615024999999999,0.04615024999999999,0.16855124999999999,0.10275625,0.43716724999999995,0.04615024999999999,0.10692425,0.04615024999999999,0,0,0,0,0.08086419753086427,0,0,0
51,22.392126,2.308100,17.748799,2.335228,26780,3699,0.980234,0.249932,0.04375224999999999,0.04375224999999999,0.16615324999999997,0.10035825,0.45360825,0.04375224999999999,0.10487125,0.04375224999999999,0,0,0,0,0.14742014742014742,0,0,0
52,21.243229,2.323800,18.646384,0.273045,26807,3569,0.981223,0.241149,0.041535125000000006,0.041535125000000006,0.163936125,0.09814112500000001,0.46879712500000004,0.041535125000000006,0.102985125,0.041535125000000006,0,0,0,0,0.083987915407855,0,0,0
53,21.698801,2.335300,19.347657,0.015844,26826,3473,0.981918,0.234662,0.04114025000000001,0.04114025000000001,0.16354125,0.09774625,0.47150024999999995,0.04114025000000001,0.10265125000000001,0.04114025000000001,0,0,0,0,0,0,0,0
54,20.578714,2.316200,18.212271,0.050242,26698,3536,0.977233,0.238919,0.04114025000000001,0.04114025000000001,0.16354125,0.09774625,0.47150024999999995,0.04114025000000001,0.10265125000000001,0.04114025000000001,0,0,0,0,0.04886988393402558,0,0,0
55,21.606652,2.333300,19.257508,0.015844,26725,3392,0.978221,0.229189,0.040839749999999994,0.040839749999999994,0.16324075,0.09744575,0.47355775,0.040839749999999994,0.10239675,0.040839749999999994,0,0,0,0,0,0,0,0
56,20.432652,2.314100,18.102707,0.015844,26597,3456,0.973536,0.233514,0.040839749999999994,0.040839749999999994,0.16324075,0.09744575,0.47355775,0.040839749999999994,0.10239675,0.040839749999999994,0,0,0,0,0,0,0,0
57,19.340874,2.294900,17.006562,0.039412,26469,3520,0.968851,0.237838,0.040839749999999994,0.040839749999999994,0.16324075,0.09744575,0.47355775,0.040839749999999994,0.10239675,0.040839749999999994,0,0,0,0,0.04286589099816285,0,0,0
58,19.925279,2.305400,17.604035,0.015844,26485,3431,0.969436,0.231824,0.04047487500000001,0.04047487500000001,0.162875875,0.09708087500000001,0.476054875,0.04047487500000001,0.10208887500000001,0.04047487500000001,0,0,0,0,0,0,0,0
59,18.824838,2.286100,16.517225,0.021513,26356,3495,0.964714,0.236149,0.04047487500000001,0.04047487500000001,0.162875875,0.09708087500000001,0.476054875,0.04047487500000001,0.10208887500000001,0.04047487500000001,0,0,0,0,0.022578728461081332,0,0,0
60,19.469372,2.297500,17.156028,0.015844,26363,3388,0.964971,0.228919,0.04000687500000001,0.04000687500000001,0.162407875,0.09661287500000001,0.47925787500000006,0.04000687500000001,0.10169387500000002,0.04000687500000001,0,0,0,0,0,0,0,0
61,18.383898,2.278400,16.089654,0.015844,26235,3451,0.960286,0.233176,0.04000687500000001,0.04000687500000001,0.162407875,0.09661287500000001,0.47925787500000006,0.04000687500000001,0.10169387500000002,0.04000687500000001,0,0,0,0,0,0,0,0
62,17.390694,2.259100,15.067970,0.063624,26106,3515,0.955564,0.237500,0.04000687500000001,0.04000687500000001,0.162407875,0.09661287500000001,0.47925787500000006,0.04000687500000001,0.10169387500000002,0.04000687500000001,0,0,0,0,0.05423122765196664,0,0,0
63,18.022216,2.272000,15.734372,0.015844,26127,3407,0.956332,0.230203,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
64,16.992818,2.252800,14.724174,0.015844,25998,3470,0.951611,0.234459,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
65,16.011634,2.233500,13.762289,0.015844,25869,3534,0.946889,0.238784,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
66,15.090398,2.214400,12.860154,0.015844,25741,3597,0.942204,0.243041,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
67,14.207553,2.195100,11.996609,0.015844,25612,3661,0.937482,0.247365,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
68,13.784917,2.185500,11.583573,0.015844,25547,3692,0.935102,0.249459,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0,0,0,0
69,13.389188,2.175900,11.182287,0.031001,25483,3724,0.932760,0.251622,0.038414250000000004,0.038414250000000004,0.16081525000000002,0.09502025,0.49015525000000004,0.038414250000000004,0.10035225,0.038414250000000004,0,0,0,0,0.036122817579771205,0,0,0
70,13.784815,2.186500,11.582471,0.015844,25497,3632,0.933272,0.245405,0.03810187500000001,0.03810187500000001,0.16050287500000002,0.09470787500000001,0.49229187500000005,0.03810187500000001,0.10008987500000001,0.03810187500000001,0,0,0,0,0,0,0,0
71,13.379257,2.176900,11.177186,0.025171,25433,3664,0.930930,0.247568,0.03810187500000001,0.03810187500000001,0.16050287500000002,0.09470787500000001,0.49229187500000005,0.03810187500000001,0.10008987500000001,0.03810187500000001,0,0,0,0,0.029131985731272403,0,0,0
72,13.800543,2.187900,11.596798,0.015844,25445,3566,0.931369,0.240946,0.037712,0.037712,0.160113,0.094318,0.494958,0.037712,0.099763,0.037712,0,0,0,0,0,0,0,0
73,13.379995,2.178300,11.185851,0.015844,25380,3597,0.928990,0.243041,0.037712,0.037712,0.160113,0.094318,0.494958,0.037712,0.099763,0.037712,0,0,0,0,0,0,0,0
74,12.968011,2.168600,10.782537,0.016873,25315,3629,0.926611,0.245203,0.037712,0.037712,0.160113,0.094318,0.494958,0.037712,0.099763,0.037712,0,0,0,0,0.006984866123399325,0,0,0
75,12.641521,2.162100,10.463577,0.015844,25208,3587,0.922694,0.242365,0.037295874999999985,0.037295874999999985,0.159696875,0.09390187499999998,0.497803875,0.037295874999999985,0.09941387499999998,0.037295874999999985,0,0,0,0,0,0,0,0
76,12.247608,2.152500,10.079264,0.015844,25143,3618,0.920315,0.244459,0.037295874999999985,0.037295874999999985,0.159696875,0.09390187499999998,0.497803875,0.037295874999999985,0.09941387499999998,0.037295874999999985,0,0,0,0,0,0,0,0
77,11.861054,2.142800,9.702410,0.015844,25078,3650,0.917936,0.246622,0.037295874999999985,0.037295874999999985,0.159696875,0.09390187499999998,0.497803875,0.037295874999999985,0.09941387499999998,0.037295874999999985,0,0,0,0,0,0,0,0
78,11.489299,2.133200,9.340254,0.015844,25014,3682,0.915593,0.248784,0.037295874999999985,0.037295874999999985,0.159696875,0.09390187499999998,0.497803875,0.037295874999999985,0.09941387499999998,0.037295874999999985,0,0,0,0,0,0,0,0
79,11.189883,2.123500,8.984334,0.082049,24949,3714,0.913214,0.250946,0.037295874999999985,0.037295874999999985,0.159696875,0.09390187499999998,0.497803875,0.037295874999999985,0.09941387499999998,0.037295874999999985,0.0,0,0,0,0.05967555040556205,0,0,0
80,11.416355,2.132200,9.259424,0.024731,24963,3641,0.913726,0.246014,0.03579237499999998,0.03579237499999998,0.15819337499999997,0.09239837499999998,0.508082375,0.03579237499999998,0.09815637499999998,0.03579237499999998,0,0,0,0,0.02846534653465349,0,0,0
81,11.760061,2.142700,9.601517,0.015844,24974,3547,0.914129,0.239662,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0,0,0,0
82,11.383419,2.133100,9.234474,0.015844,24909,3578,0.911750,0.241757,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0,0,0,0
83,11.014175,2.123400,8.874930,0.015844,24844,3610,0.909370,0.243919,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0,0,0,0
84,10.662335,2.113900,8.532590,0.015844,24780,3641,0.907028,0.246014,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0,0,0,0
85,10.313528,2.104200,8.193484,0.015844,24715,3673,0.904649,0.248176,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0,0,0,0
86,10.333713,2.094500,7.864311,0.374902,24650,3705,0.902269,0.250338,0.03555224999999998,0.03555224999999998,0.15795325,0.09215824999999998,0.50972325,0.03555224999999998,0.09795624999999998,0.03555224999999998,0,0,0,0,0.090641553855209,0,0,0
87,10.191849,2.101900,8.074104,0.015844,24662,3643,0.902709,0.246149,0.034006625000000006,0.034006625000000006,0.156407625,0.090612625,0.520284625,0.034006625000000006,0.09666862500000001,0.034006625000000006,0,0,0,0,0,0,0,0
88,9.854302,2.092200,7.746257,0.015844,24597,3675,0.900329,0.248311,0.034006625000000006,0.034006625000000006,0.156407625,0.090612625,0.520284625,0.034006625000000006,0.09666862500000001,0.034006625000000006,0,0,0,0,0,0,0,0
89,9.530584,2.082600,7.431746,0.016238,24533,3707,0.897987,0.250473,0.034006625000000006,0.034006625000000006,0.156407625,0.090612625,0.520284625,0.034006625000000006,0.09666862500000001,0.034006625000000006,0,0,0,0,0.0030284675953967666,0,0,0
90,9.270920,2.075100,7.179976,0.015844,24472,3721,0.895754,0.251419,0.033818249999999994,0.033818249999999994,0.15621924999999998,0.09042425,0.52157125,0.033818249999999994,0.09651225,0.033818249999999994,0,0,0,0,0,0,0,0
91,8.961858,2.065500,6.880513,0.015844,24407,3752,0.893375,0.253514,0.033818249999999994,0.033818249999999994,0.15621924999999998,0.09042425,0.52157125,0.033818249999999994,0.09651225,0.033818249999999994,0,0,0,0,0,0,0,0
92,8.659396,2.055800,6.587752,0.015844,24342,3784,0.890996,0.255676,0.033818249999999994,0.033818249999999994,0.15621924999999998,0.09042425,0.52157125,0.033818249999999994,0.09651225,0.033818249999999994,0,0,0,0,0,0,0,0
93,12.430336,2.046100,6.303858,4.080378,24277,3816,0.888616,0.257838,0.033818249999999994,0.033818249999999994,0.15621924999999998,0.09042425,0.52157125,0.033818249999999994,0.09651225,0.033818249999999994,0.18461538461538463,0,0,0,0,0,0,0
94,8.537897,2.051100,6.470953,0.015844,24329,3818,0.890520,0.257973,0.040666999999999974,0.032826999999999974,0.15522799999999998,0.08943299999999997,0.520657,0.032826999999999974,0.09553399999999997,0.032826999999999974,0,0,0,0,0,0,0,0
95,8.250880,2.041500,6.193536,0.015844,24264,3849,0.888141,0.260068,0.040666999999999974,0.032826999999999974,0.15522799999999998,0.08943299999999997,0.520657,0.032826999999999974,0.09553399999999997,0.032826999999999974,0,0,0,0,0,0,0,0
96,7.973378,2.031900,5.925634,0.015844,24200,3881,0.885798,0.262230,0.040666999999999974,0.032826999999999974,0.15522799999999998,0.08943299999999997,0.520657,0.032826999999999974,0.09553399999999997,0.032826999999999974,0,0,0,0,0,0,0,0
97,7.711177,2.022200,5.662794,0.026183,24135,3913,0.883419,0.264392,0.040666999999999974,0.032826999999999974,0.15522799999999998,0.08943299999999997,0.520657,0.032826999999999974,0.09553399999999997,0.032826999999999974,0,0,0,0,0.03057025279247505,0,0,0
98,7.811916,2.027500,5.768572,0.015844,24140,3865,0.883602,0.261149,0.04094724999999999,0.03310724999999999,0.15550825000000001,0.08971325,0.5187422500000001,0.03310724999999999,0.09576725,0.03310724999999999,0,0,0,0,0,0,0,0
99,10.564258,2.017800,5.509231,3.037227,24075,3897,0.881223,0.263311,0.04094724999999999,0.03310724999999999,0.15550825000000001,0.08971325,0.5187422500000001,0.03310724999999999,0.09576725,0.03310724999999999,0,0,0,0.16260162601626005,0,0,0,0
100,8.197777,2.025900,5.757505,0.414372,24156,3897,0.884187,0.263311,0.03985287500000001,0.03201287500000001,0.154413875,0.097116875,0.517867875,0.03201287500000001,0.09470987500000001,0.03201287500000001,0,0,0,0,0.09281437125748504,0,0,0
101,7.963668,2.033300,5.914524,0.015844,24168,3835,0.884627,0.259122,0.04011262499999998,0.03227262499999998,0.15467362499999998,0.09737662499999998,0.516093625,0.03227262499999998,0.09492562499999997,0.03227262499999998,0,0,0,0,0,0,0,0
102,7.689622,2.023600,5.650178,0.015844,24103,3867,0.882247,0.261284,0.04011262499999998,0.03227262499999998,0.15467362499999998,0.09737662499999998,0.516093625,0.03227262499999998,0.09492562499999997,0.03227262499999998,0,0,0,0,0,0,0,0
103,7.426888,2.014000,5.397044,0.015844,24039,3899,0.879905,0.263446,0.04011262499999998,0.03227262499999998,0.15467362499999998,0.09737662499999998,0.516093625,0.03227262499999998,0.09492562499999997,0.03227262499999998,0,0,0,0,0,0,0,0
104,13.922187,2.004400,5.150543,6.767243,23974,3930,0.877526,0.265541,0.04011262499999998,0.03227262499999998,0.15467362499999998,0.09737662499999998,0.516093625,0.03227262499999998,0.09492562499999997,0.03227262499999998,0,0,0,0.20704845814977968,0.13128834355828212,0,0,0
105,7.772037,2.010100,5.262398,0.499538,23985,3884,0.877928,0.262432,0.03868725000000002,0.03084725000000002,0.15324825000000003,0.10744225000000002,0.51453625,0.03084725000000002,0.09354425000000002,0.03084725000000002,0,0.0071428571428572285,0,0,0.09694793536804314,0,0,0
106,7.469981,2.018800,5.435336,0.015844,23999,3811,0.878441,0.257500,0.03889474999999999,0.031069749999999993,0.15345575,0.10764974999999999,0.51310475,0.031054749999999992,0.09371574999999999,0.031054749999999992,0,0,0,0,0,0,0,0
107,7.213838,2.009200,5.184603,0.020035,23934,3842,0.876061,0.259595,0.03889474999999999,0.031069749999999993,0.15345575,0.10764974999999999,0.51310475,0.031054749999999992,0.09371574999999999,0.031054749999999992,0.011904761904761973,0.012195121951219523,0,0,0,0,0,0
108,6.958434,1.999600,4.942989,0.015844,23870,3874,0.873719,0.261757,0.039930125000000004,0.032875125000000005,0.152975125,0.107169125,0.512661125,0.030574125000000004,0.09324112500000001,0.030574125000000004,0,0,0,0,0,0,0,0
109,6.712031,1.989900,4.706286,0.015844,23805,3906,0.871340,0.263919,0.039930125000000004,0.032875125000000005,0.152975125,0.107169125,0.512661125,0.030574125000000004,0.09324112500000001,0.030574125000000004,0,0,0,0,0,0,0,0
110,6.479887,1.980300,4.478772,0.020816,23740,3937,0.868960,0.266014,0.039930125000000004,0.032875125000000005,0.152975125,0.107169125,0.512661125,0.030574125000000004,0.09324112500000001,0.030574125000000004,0,0.020979020979020935,0,0,0,0,0,0
111,6.249114,1.970800,4.262470,0.015844,23677,3969,0.866654,0.268176,0.039036,0.039056,0.152081,0.106275,0.511834,0.02968,0.092358,0.02968,0,0,0,0,0,0,0,0
112,6.027658,1.961200,4.050613,0.015844,23613,4001,0.864312,0.270338,0.039036,0.039056,0.152081,0.106275,0.511834,0.02968,0.092358,0.02968,0,0,0,0,0,0,0,0
