iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,130.326166,0.880300,0.793396,128.652471,19209,10406,0.899982,0.899978,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.8640646029609691,0.6627218934911243,0.9328537170263789,0,0.6204545454545455,0
1,101.766565,1.137000,1.381732,99.247833,19247,7877,0.901763,0.681254,0.10948574999999999,0.10948574999999999,0.14581875,0.13380875,0.13903574999999999,0.10948574999999999,0.14339375,0.10948574999999999,0,0,0.857566765578635,0.5714285714285714,0.9384615384615385,0,0,0
2,97.365591,1.154800,1.471034,94.739756,19285,7737,0.903543,0.669146,0.10297725000000002,0.10297725000000002,0.16088925000000004,0.13907125000000004,0.15093925000000002,0.10297725000000002,0.13719125000000004,0.10297725000000002,0,0,0.8534599728629579,0.5088757396449703,0.9100077579519007,0,0.05726872246696024,0
3,88.658856,1.169400,1.555199,85.934256,19325,7631,0.905417,0.659978,0.09708025,0.09708025,0.17490625,0.14387425,0.16116925000000001,0.09708025,0.13172925000000002,0.09708025,0,0,0.893646408839779,0.25,0.946442234123948,0,0,0
4,74.236340,1.183200,1.641036,71.412104,19366,7534,0.907338,0.651589,0.09210000000000002,0.09210000000000002,0.18912400000000001,0.144243,0.17121000000000003,0.09210000000000002,0.127023,0.09210000000000002,0,0,0.7581792318634424,0.049689440993788914,0.9285714285714286,0,0,0
5,59.663158,1.195900,1.721939,56.745318,19402,7443,0.909025,0.643719,0.08859387499999999,0.08859387499999999,0.200439875,0.14078687499999998,0.18067087499999998,0.08859387499999999,0.12372687499999999,0.08859387499999999,0,0,0.46442953020134226,0.10752688172043001,0.901821060965954,0,0,0
6,66.310773,1.207300,1.795336,63.308137,19432,7359,0.910430,0.636454,0.085954,0.085954,0.206209,0.139577,0.189148,0.085954,0.12125,0.085954,0,0,0.6295264623955432,0,0.8891454965357968,0,0,0
7,50.418222,1.219100,1.877466,47.321655,19467,7276,0.912070,0.629276,0.083294,0.083294,0.214623,0.136917,0.196519,0.083294,0.118765,0.083294,0,0,0.004054054054054013,0.22222222222222232,0.9633757961783439,0,0,0
8,43.126426,1.227500,1.934290,39.964636,19488,7213,0.913054,0.623827,0.08148112499999999,0.08148112499999999,0.212811125,0.139992125,0.204213125,0.08148112499999999,0.11705912499999999,0.08148112499999999,0,0,0.07797537619699046,0,0.9284082254379284,0,0,0
9,38.413148,1.235700,1.989813,35.187634,19507,7150,0.913944,0.618378,0.08042824999999998,0.08042824999999998,0.21204325,0.13893925,0.21122624999999998,0.08042824999999998,0.11607824999999998,0.08042824999999998,0,0,0,0,0.8327868852459016,0,0,0
10,43.030415,1.243200,2.041453,39.745762,19524,7092,0.914741,0.613362,0.079607375,0.079607375,0.211222375,0.138118375,0.216914375,0.079607375,0.115315375,0.079607375,0,0,0,0,0.9277478862413528,0,0,0
11,36.279733,1.250400,2.094567,32.934766,19543,7039,0.915631,0.608778,0.078767,0.078767,0.210382,0.137278,0.222737,0.078767,0.114535,0.078767,0.06779661016949157,0,0,0,0.7836391437308868,0,0,0
12,44.013195,1.257000,2.142951,40.613245,19559,6989,0.916381,0.604454,0.07825674999999999,0.07810075,0.20971575,0.13661175,0.22719675,0.07810075,0.11391675,0.07810075,0,0,0,0.0,0.9458204334365325,0,0.0,0
13,43.868762,1.263600,2.196015,40.409148,19579,6943,0.917318,0.600476,0.07752887500000001,0.07737287500000001,0.20898787500000002,0.13588387500000002,0.232236875,0.07737287500000001,0.11324387500000001,0.07737287500000001,0,0,0.05706874189364464,0,0.940387481371088,0,0,0
14,39.842346,1.270600,2.252292,36.319454,19599,6893,0.918255,0.596151,0.07685587499999998,0.07669987499999999,0.20839387499999998,0.13521087499999998,0.23681687499999998,0.07669987499999999,0.11262287499999998,0.07669987499999999,0,0,0,0,0.8563664596273293,0,0,0
15,57.504444,1.277000,2.305448,53.921995,19618,6848,0.919145,0.592259,0.07629812499999998,0.07614212499999998,0.20783612499999998,0.13465312499999998,0.240677125,0.07614212499999998,0.11210912499999998,0.07614212499999998,0,0,0,0.41711229946524064,0.9060150375939849,0,0,0
16,46.330587,1.284500,2.372616,42.673471,19644,6799,0.920363,0.588022,0.07450124999999999,0.07434524999999999,0.20603925,0.14241325,0.24359625000000001,0.07434524999999999,0.11041424999999999,0.07434524999999999,0.16666666666666663,0,0,0,0.9218139171227522,0,0,0
17,42.012138,1.290700,2.429756,38.291682,19666,6759,0.921394,0.584562,0.07650624999999998,0.07343224999999998,0.20512624999999998,0.14150024999999997,0.24701625,0.07343224999999998,0.10955424999999998,0.07343224999999998,0,0,0,0,0.8974545454545455,0,0,0
