iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,133.105540,0.880300,0.793396,131.431844,19209,10406,0.899982,0.899978,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.8775235531628534,0.6804733727810651,0.9072741806554756,0,0.6727272727272727,0
1,103.651625,1.160800,1.555944,100.934881,19366,7758,0.907338,0.670962,0.109055125,0.109055125,0.14595512500000002,0.134030125,0.13801012499999998,0.109055125,0.145784125,0.109055125,0,0,0.8234421364985163,0.656084656084656,0.9230769230769231,0,0,0
2,112.760425,1.201700,1.847117,109.711608,19521,7504,0.914600,0.648995,0.09548512499999999,0.09548512499999999,0.17497412499999998,0.147933125,0.162304125,0.09548512499999999,0.13284812499999998,0.09548512499999999,0,0,0.8507462686567164,0.6627218934911243,0.8944918541505043,0,0.27753303964757703,0
3,58.587570,1.257000,2.302963,55.027607,19731,7161,0.924439,0.619330,0.080697,0.080697,0.198395,0.162363,0.178264,0.080697,0.13819,0.080697,0,0,0.4295580110497238,0,0.9166029074215761,0,0,0
4,42.389909,1.291500,2.617465,38.480945,19853,6938,0.930155,0.600043,0.075184,0.075184,0.210578,0.15685,0.198817,0.075184,0.133019,0.075184,0,0,0,0,0.9013975155279503,0,0,0
5,42.173273,1.334300,3.056140,37.782834,20008,6665,0.937417,0.576432,0.07268600000000001,0.07268600000000001,0.20808,0.154352,0.216138,0.07268600000000001,0.13068600000000002,0.07268600000000001,0,0,0.01744966442953022,0,0.8867775138558986,0,0,0
6,39.163763,1.361300,3.346105,34.456358,20092,6479,0.941353,0.560346,0.07057912499999999,0.07057912499999999,0.20597912499999999,0.15224512499999998,0.23072812499999998,0.07057912499999999,0.128731125,0.07057912499999999,0,0,0,0,0.8175519630484989,0,0,0
7,46.560249,1.386400,3.641514,41.532335,20175,6311,0.945242,0.545816,0.068925,0.068925,0.204325,0.150591,0.24218,0.068925,0.127204,0.068925,0,0,0,0,0.964968152866242,0,0,0
8,43.805056,1.417200,4.036140,38.351716,20279,6107,0.950114,0.528173,0.06718287499999999,0.06718287499999999,0.202582875,0.148848875,0.25423487499999997,0.06718287499999999,0.12560187499999997,0.06718287499999999,0,0,0,0,0.8987052551408987,0,0,0
9,38.327656,1.449600,4.483864,32.394192,20383,5887,0.954987,0.509146,0.06570775,0.06570775,0.20110775,0.14737375,0.26443675,0.06570775,0.12425075,0.06570775,0,0,0,0,0.7745901639344263,0,0,0
