iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,93.622419,1.126800,1.015794,91.479825,24588,13320,0.900000,0.900000,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.8310010764262648,0,0.9359605911330049,0,0.4386617100371748,0
1,93.575233,1.603100,3.028268,88.943865,25375,9344,0.928807,0.631351,0.11314424999999999,0.11314424999999999,0.15116825,0.11314424999999999,0.14286125,0.11314424999999999,0.14024925,0.11314424999999999,0,0,0.7666303162486369,0.4504504504504504,0.9357101110461719,0,0,0
2,99.509972,1.727200,4.378391,93.404381,25917,8645,0.948646,0.584122,0.106034,0.106034,0.167488,0.117928,0.156977,0.106034,0.133471,0.106034,0,0,0.8108695652173913,0.04245283018867929,0.9114832535885168,0,0.522887323943662,0
3,53.904759,1.889300,6.818408,45.197051,26678,7785,0.976501,0.526014,0.09707575000000002,0.09707575000000002,0.18400175000000002,0.10900675000000003,0.16915375000000002,0.09707575000000002,0.14953475000000002,0.09707575000000002,0,0,0.05467928496319663,0.21224489795918355,0.9280701754385965,0,0,0
4,52.261465,2.041700,9.949527,40.270238,27377,6960,1.002086,0.470270,0.09350687499999999,0.09350687499999999,0.18055087499999997,0.11178487499999998,0.187485875,0.09350687499999999,0.14615087499999999,0.09350687499999999,0,0,0.007692307692307665,0,0.9386503067484663,0,0,0
5,33.502792,2.145800,12.641906,18.715086,27774,6316,1.016618,0.426757,0.09049412500000001,0.09049412500000001,0.177540125,0.108772125,0.208385125,0.09049412500000001,0.14332612500000003,0.09049412500000001,0,0,0,0,0.4896088019559902,0,0,0
6,50.514767,2.220000,14.964962,33.329806,28026,5826,1.025842,0.393649,0.08885175,0.08885175,0.17589775,0.10712975,0.21976874999999998,0.08885175,0.14179675,0.08885175,0,0,0,0,0.7940821256038647,0,0,0
7,49.813034,2.292400,17.687052,29.833582,28260,5336,1.034407,0.360541,0.085859,0.085859,0.172905,0.104137,0.2405,0.085859,0.139022,0.085859,0,0,0,0,0.721244131455399,0,0,0
8,25.400854,2.377100,21.648759,1.374994,28512,4741,1.043631,0.320338,0.08295575,0.08295575,0.17000174999999998,0.10123375,0.26059175,0.08295575,0.13634975,0.08295575,0,0,0,0,0.125,0,0,0
9,36.237379,2.499800,29.722346,4.015233,28855,3857,1.056186,0.260608,0.082466,0.082466,0.169512,0.100744,0.263978,0.082466,0.135902,0.082466,0,0,0,0,0.1832493702770781,0,0,0
10,58.562490,2.621600,42.550024,13.390866,29217,3001,1.069436,0.202770,0.08113375000000002,0.08113375000000002,0.16817975000000002,0.09941175000000002,0.27318775,0.08113375000000002,0.13468575000000002,0.08113375000000002,0,0,0,0,0.37868753762793494,0,0,0
11,56.245245,2.690200,53.539200,0.015844,29438,2536,1.077526,0.171351,0.077309125,0.077309125,0.164355125,0.09558712500000001,0.29961312500000004,0.077309125,0.131208125,0.077309125,0,0,0,0,0,0,0,0
12,45.687214,2.613400,43.057970,0.015844,28926,2792,1.058785,0.188649,0.077309125,0.077309125,0.164355125,0.09558712500000001,0.29961312500000004,0.077309125,0.131208125,0.077309125,0,0,0,0,0,0,0,0
13,37.202702,2.536600,34.645265,0.020837,28414,3048,1.040044,0.205946,0.077309125,0.077309125,0.164355125,0.09558712500000001,0.29961312500000004,0.077309125,0.131208125,0.077309125,0,0,0,0.015810276679841917,0.011098130841121545,0,0,0
14,43.026103,2.484600,30.871923,9.669580,27730,2884,1.015007,0.194865,0.07634400000000001,0.07634400000000001,0.16339000000000004,0.09826200000000002,0.302664,0.07634400000000001,0.13030800000000003,0.07634400000000001,0,0,0,0,0.3011606597434331,0,0,0
15,44.323814,2.549400,39.126165,2.648250,27926,2432,1.022182,0.164324,0.07357125,0.07357125,0.16061725000000002,0.09548925000000001,0.32179525,0.07357125,0.12781325000000002,0.07357125,0,0,0,0,0.15425219941348978,0,0,0
16,55.447485,2.621100,52.810541,0.015844,28147,1936,1.030271,0.130811,0.07195924999999999,0.07195924999999999,0.15900525,0.09387725,0.33290725,0.07195924999999999,0.12637325,0.07195924999999999,0,0,0,0,0,0,0,0
17,43.083536,2.544300,40.523392,0.015844,27634,2191,1.011493,0.148041,0.07195924999999999,0.07195924999999999,0.15900525,0.09387725,0.33290725,0.07195924999999999,0.12637325,0.07195924999999999,0,0,0,0,0,0,0,0
18,37.026953,2.467500,31.178273,3.381180,27122,2447,0.992753,0.165338,0.07195924999999999,0.07195924999999999,0.15900525,0.09387725,0.33290725,0.07195924999999999,0.12637325,0.07195924999999999,0,0,0,0,0.16990291262135926,0,0,0
19,47.817864,2.552600,45.219320,0.045944,27378,1852,1.002123,0.125135,0.07026087499999999,0.07026087499999999,0.15730687499999998,0.09217887499999998,0.344608875,0.07026087499999999,0.12486187499999998,0.07026087499999999,0,0,0,0,0.04672897196261694,0,0,0
20,90.428425,2.666800,87.745781,0.015844,27749,1081,1.015703,0.073041,0.069890625,0.069890625,0.156936625,0.091808625,0.347158625,0.069890625,0.12453362500000001,0.069890625,0,0,0,0,0,0,0,0
21,63.895379,2.590000,61.289534,0.015844,27237,1337,0.996962,0.090338,0.069890625,0.069890625,0.156936625,0.091808625,0.347158625,0.069890625,0.12453362500000001,0.069890625,0,0,0,0,0,0,0,0
