iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
56,0,82.984219,54.761100,28.219158,0.003961,193700,11163,1.130765,0.205770,0.268058,0.731942,0,0
57,0,52.287270,44.533500,7.743139,0.010631,153905,5460,0.898453,0.100645,0.268058,0.731942,0.024640657084188833,0
58,0,82.914224,52.340400,30.569863,0.003961,198624,24156,1.159510,0.445272,0.26845,0.73155,0,0
59,0,63.287498,43.051800,20.231737,0.003961,178502,34996,1.042043,0.645088,0.26845,0.73155,0,0
60,0,132.764737,66.838200,65.922576,0.003961,267746,44952,1.563024,0.828608,0.26845,0.73155,0,0
61,0,84.940642,52.829700,32.106981,0.003961,201637,25538,1.177099,0.470747,0.26845,0.73155,0,0
62,0,91.972989,58.578900,33.390128,0.003961,203287,8024,1.186731,0.147908,0.26845,0.73155,0,0
63,0,95.544150,59.107500,36.432689,0.003961,209572,12547,1.223421,0.231281,0.26845,0.73155,0,0
64,0,106.913609,64.252800,42.656848,0.003961,220064,5888,1.284670,0.108535,0.26845,0.73155,0,0
65,0,129.236289,69.497400,59.734928,0.003961,255056,23398,1.488943,0.431300,0.26845,0.73155,0,0
66,0,86.151918,50.655300,35.492657,0.003961,208384,39533,1.216486,0.728719,0.26845,0.73155,0,0
67,0,93.483307,22.056300,10.315761,61.111246,118405,44884,0.691214,0.827355,0.26845,0.73155,0.47315096251266464,1.0
68,0,77.046801,32.142300,9.763472,35.141029,157968,50827,0.922172,0.936903,0.287077,0.712923,0,0.8320635089775694
69,0,77.947894,48.154500,29.789433,0.003961,197218,36703,1.151302,0.676553,0.287411,0.712589,0,0
70,0,128.985877,70.540500,58.441415,0.003961,252072,16937,1.471524,0.312203,0.287411,0.712589,0,0
71,0,126.415681,68.023500,58.388219,0.003961,252587,25842,1.474530,0.476350,0.287411,0.712589,0,0
72,0,77.563689,33.509100,0.852608,43.201981,137070,25373,0.800175,0.467705,0.287411,0.712589,0,1.0
73,0,94.966371,57.203700,37.758710,0.003961,212547,21868,1.240788,0.403097,0.267228,0.732772,0,0
74,0,135.251336,66.379500,68.867875,0.003961,273603,52338,1.597215,0.964756,0.267228,0.732772,0,0
75,0,64.668892,44.308800,20.356131,0.003961,178732,31036,1.043386,0.572092,0.267228,0.732772,0,0
76,0,93.316555,28.522200,11.593496,53.200860,115850,20776,0.676299,0.382968,0.267228,0.732772,0.3083511777301927,1.0
77,0,131.793218,65.669400,66.119857,0.003961,268207,49309,1.565715,0.908922,0.29057,0.70943,0,0
78,0,132.514621,67.395900,65.114760,0.003961,266104,41451,1.553438,0.764074,0.29057,0.70943,0,0
79,0,91.907780,23.440800,12.086356,56.380624,114902,36766,0.670765,0.677714,0.29057,0.70943,0.37459634015069976,1.0
80,0,77.421413,32.781300,1.438133,43.201981,135916,26645,0.793438,0.491152,0.312447,0.687553,0,1.0
81,0,79.763723,46.727100,33.032662,0.003961,203620,47863,1.188675,0.882267,0.306859,0.693141,0,0
82,0,99.753108,57.214200,42.534947,0.003961,222023,31309,1.296106,0.577124,0.306859,0.693141,0,0
83,0,125.645530,70.040700,55.600868,0.003961,246099,12630,1.436655,0.232811,0.306859,0.693141,0,0
84,0,109.725188,63.828600,45.892626,0.003961,227910,15148,1.330473,0.279226,0.306859,0.693141,0,0
85,0,81.641652,30.204900,8.234771,43.201981,122498,21815,0.715108,0.402120,0.306859,0.693141,0,1.0
86,0,149.722471,79.275300,70.443210,0.003961,271796,7545,1.586667,0.139078,0.297199,0.702801,0,0
87,0,82.154933,38.545800,0.407152,43.201981,139552,11066,0.814664,0.203982,0.297199,0.702801,0,1.0
88,0,145.281288,76.295700,68.981627,0.003961,272272,17953,1.589445,0.330931,0.28073,0.71927,0,0
89,0,84.512576,29.909100,10.172921,44.430555,118658,18961,0.692691,0.349512,0.28073,0.71927,0.12160694896851243,1.0
90,0,78.852403,31.232700,8.120298,39.499406,154736,50627,0.903304,0.933217,0.27786,0.72214,0,0.9228630220788611
91,0,124.524202,67.992600,56.527641,0.003961,248813,22171,1.452499,0.408682,0.27744,0.72256,0,0
92,0,84.779172,50.852700,33.922511,0.003961,205288,35779,1.198412,0.659521,0.27744,0.72256,0,0
93,0,70.668238,24.982200,2.484058,43.201981,133855,50581,0.781407,0.932369,0.27744,0.72256,0,1.0
94,0,101.601380,61.228800,40.368619,0.003961,217156,13060,1.267694,0.240737,0.268266,0.731734,0,0
95,0,108.581724,57.401100,51.176663,0.003961,239074,47737,1.395645,0.879945,0.268266,0.731734,0,0
96,0,119.908689,64.849200,55.055528,0.003961,246303,30139,1.437846,0.555558,0.268266,0.731734,0,0
97,0,106.444983,57.432900,49.008121,0.003961,234797,43354,1.370677,0.799152,0.268266,0.731734,0,0
98,0,106.281817,30.814800,12.342879,63.124138,114312,11596,0.667320,0.213751,0.268266,0.731734,0.5150862068965517,1.0
99,0,67.911496,31.847100,8.817376,27.247021,156107,49950,0.911308,0.920737,0.250621,0.749379,0,0.6676049994370004
100,0,89.524781,32.670600,4.176706,52.677475,130514,21612,0.761903,0.398378,0.251728,0.748272,0.2974472807991121,1.0
101,0,114.311137,65.094600,49.212576,0.003961,234453,17471,1.368669,0.322046,0.271927,0.728073,0,0
102,0,82.873602,32.571300,7.100321,43.201981,152728,44157,0.891582,0.813954,0.271927,0.728073,0,1.0
103,0,61.592053,39.388800,8.980371,13.222882,156413,25117,0.913094,0.462986,0.271491,0.728509,0,0.3754354481156973
104,0,143.041775,76.944900,66.092914,0.003961,263624,7141,1.538961,0.131631,0.270211,0.729789,0,0
105,0,69.236047,44.030100,25.201986,0.003961,188261,41494,1.099013,0.764866,0.270211,0.729789,0,0
106,0,106.405469,62.988000,43.413507,0.003961,222976,13016,1.301670,0.239926,0.270211,0.729789,0,0
107,0,123.564311,63.714300,59.846050,0.003961,255905,43524,1.493900,0.802286,0.270211,0.729789,0,0
108,0,119.877930,60.653100,59.220869,0.003961,254815,52638,1.487536,0.970286,0.270211,0.729789,0,0
109,0,91.353807,33.339300,9.003957,49.010550,120935,9804,0.705984,0.180719,0.270211,0.729789,0.22104144527098835,1.0
110,0,94.975231,31.281900,4.856218,58.837113,129174,24901,0.754081,0.459005,0.255082,0.744918,0.4257731958762887,1.0
111,0,93.825035,56.623800,37.197274,0.003961,211480,22734,1.234559,0.419060,0.271534,0.728466,0,0
112,0,112.024386,22.931100,16.400238,72.693048,106357,29920,0.620881,0.551521,0.271534,0.728466,0.7144385026737967,1.0
113,0,145.601957,76.149300,69.448696,0.003961,273350,19519,1.595738,0.359797,0.283578,0.716422,0,0
114,0,66.140309,47.184300,18.952048,0.003961,175912,18631,1.026924,0.343429,0.283578,0.716422,0,0
115,0,139.428267,71.094000,68.330306,0.003961,272165,35185,1.588821,0.648571,0.283578,0.716422,0,0
116,0,82.790592,34.210500,5.378112,43.201981,149338,35303,0.871792,0.650747,0.283578,0.716422,0,1.0
117,0,61.385835,44.292300,10.939367,6.154167,160215,12574,0.935289,0.231779,0.283016,0.716984,0,0.22816293498786078
118,0,137.462910,73.569900,63.889048,0.003961,262494,17261,1.532364,0.318175,0.279469,0.720531,0,0
119,0,114.626431,61.791600,52.830870,0.003961,242131,36159,1.413491,0.666525,0.279469,0.720531,0,0
120,0,130.685051,69.031800,61.649290,0.003961,259015,28909,1.512055,0.532885,0.279469,0.720531,0,0
121,0,104.798408,55.952700,48.841747,0.003961,234521,48012,1.369066,0.885014,0.279469,0.720531,0,0
122,0,106.599561,19.378200,13.798560,73.422801,111528,46934,0.651068,0.865143,0.279469,0.720531,0.7296416938110749,1.0
123,0,106.049192,62.138700,43.906531,0.003961,224232,17103,1.309002,0.315263,0.292219,0.707781,0,0
